Category: All categories

Month,healthcare: (Oregon)
2015-01,25
2015-02,25
2015-03,23
2015-04,25
2015-05,28
2015-06,40
2015-07,38
2015-08,36
2015-09,40
2015-10,48
2015-11,48
2015-12,42
2016-01,44
2016-02,45
2016-03,46
2016-04,43
2016-05,40
2016-06,43
2016-07,41
2016-08,46
2016-09,46
2016-10,48
2016-11,49
2016-12,44
2017-01,52
2017-02,48
2017-03,71
2017-04,48
2017-05,68
2017-06,57
2017-07,59
2017-08,48
2017-09,50
2017-10,54
2017-11,54
2017-12,54
2018-01,58
2018-02,53
2018-03,51
2018-04,53
2018-05,49
2018-06,48
2018-07,45
2018-08,45
2018-09,43
2018-10,49
2018-11,46
2018-12,43
2019-01,49
2019-02,48
2019-03,47
2019-04,46
2019-05,44
2019-06,39
2019-07,38
2019-08,40
2019-09,42
2019-10,46
2019-11,45
2019-12,42
2020-01,46
2020-02,50
2020-03,56
2020-04,61
2020-05,52
2020-06,45
2020-07,45
2020-08,42
2020-09,43
2020-10,47
2020-11,46
2020-12,47
2021-01,45
2021-02,46
2021-03,47
2021-04,46
2021-05,42
2021-06,43
2021-07,43
2021-08,55
2021-09,51
2021-10,57
2021-11,50
2021-12,49
2022-01,61
2022-02,62
2022-03,55
2022-04,49
2022-05,53
2022-06,50
2022-07,52
2022-08,57
2022-09,52
2022-10,55
2022-11,55
2022-12,48
2023-01,57
2023-02,56
2023-03,55
2023-04,57
2023-05,53
2023-06,55
2023-07,50
2023-08,52
2023-09,54
2023-10,58
2023-11,56
2023-12,54
2024-01,58
2024-02,62
2024-03,65
2024-04,59
2024-05,55
2024-06,52
2024-07,60
2024-08,52
2024-09,55
2024-10,59
2024-11,57
2024-12,100
2025-01,63
2025-02,63
2025-03,60
2025-04,60
2025-05,58
