Categoría: Todas las categorías

Mes,healthcare: (Carolina del Sur)
2015-01,57
2015-02,55
2015-03,52
2015-04,51
2015-05,47
2015-06,47
2015-07,42
2015-08,43
2015-09,45
2015-10,50
2015-11,54
2015-12,48
2016-01,48
2016-02,48
2016-03,47
2016-04,48
2016-05,41
2016-06,45
2016-07,43
2016-08,45
2016-09,43
2016-10,47
2016-11,47
2016-12,40
2017-01,51
2017-02,50
2017-03,55
2017-04,42
2017-05,61
2017-06,50
2017-07,51
2017-08,48
2017-09,48
2017-10,55
2017-11,51
2017-12,45
2018-01,50
2018-02,50
2018-03,46
2018-04,46
2018-05,46
2018-06,45
2018-07,48
2018-08,48
2018-09,40
2018-10,50
2018-11,46
2018-12,39
2019-01,48
2019-02,49
2019-03,47
2019-04,45
2019-05,42
2019-06,43
2019-07,41
2019-08,46
2019-09,44
2019-10,46
2019-11,42
2019-12,40
2020-01,43
2020-02,49
2020-03,53
2020-04,79
2020-05,56
2020-06,47
2020-07,45
2020-08,43
2020-09,48
2020-10,50
2020-11,48
2020-12,53
2021-01,53
2021-02,55
2021-03,50
2021-04,48
2021-05,52
2021-06,48
2021-07,47
2021-08,58
2021-09,55
2021-10,53
2021-11,58
2021-12,60
2022-01,61
2022-02,57
2022-03,55
2022-04,49
2022-05,53
2022-06,52
2022-07,51
2022-08,56
2022-09,53
2022-10,48
2022-11,50
2022-12,50
2023-01,56
2023-02,57
2023-03,53
2023-04,52
2023-05,53
2023-06,52
2023-07,52
2023-08,56
2023-09,50
2023-10,55
2023-11,60
2023-12,52
2024-01,63
2024-02,65
2024-03,56
2024-04,59
2024-05,55
2024-06,52
2024-07,50
2024-08,53
2024-09,59
2024-10,55
2024-11,56
2024-12,100
2025-01,61
2025-02,61
2025-03,55
2025-04,60
2025-05,59
