Categoría: Todas las categorías

Mes,healthcare: (Dakota del Sur)
2015-01,51
2015-02,57
2015-03,50
2015-04,60
2015-05,44
2015-06,57
2015-07,58
2015-08,53
2015-09,57
2015-10,58
2015-11,57
2015-12,43
2016-01,45
2016-02,52
2016-03,51
2016-04,51
2016-05,43
2016-06,47
2016-07,40
2016-08,49
2016-09,46
2016-10,50
2016-11,60
2016-12,50
2017-01,57
2017-02,53
2017-03,67
2017-04,52
2017-05,59
2017-06,57
2017-07,55
2017-08,50
2017-09,56
2017-10,62
2017-11,56
2017-12,54
2018-01,52
2018-02,57
2018-03,51
2018-04,49
2018-05,51
2018-06,49
2018-07,48
2018-08,55
2018-09,47
2018-10,53
2018-11,56
2018-12,42
2019-01,53
2019-02,52
2019-03,50
2019-04,55
2019-05,54
2019-06,51
2019-07,49
2019-08,49
2019-09,57
2019-10,54
2019-11,55
2019-12,52
2020-01,58
2020-02,63
2020-03,61
2020-04,82
2020-05,67
2020-06,55
2020-07,54
2020-08,54
2020-09,58
2020-10,73
2020-11,64
2020-12,71
2021-01,56
2021-02,61
2021-03,63
2021-04,59
2021-05,54
2021-06,54
2021-07,54
2021-08,54
2021-09,65
2021-10,57
2021-11,63
2021-12,61
2022-01,62
2022-02,53
2022-03,50
2022-04,54
2022-05,55
2022-06,50
2022-07,52
2022-08,57
2022-09,56
2022-10,54
2022-11,60
2022-12,42
2023-01,59
2023-02,59
2023-03,55
2023-04,55
2023-05,56
2023-06,53
2023-07,54
2023-08,57
2023-09,55
2023-10,61
2023-11,59
2023-12,55
2024-01,59
2024-02,66
2024-03,63
2024-04,67
2024-05,61
2024-06,62
2024-07,57
2024-08,57
2024-09,60
2024-10,65
2024-11,59
2024-12,100
2025-01,68
2025-02,67
2025-03,69
2025-04,65
2025-05,74
