Categoría: Todas las categorías

Mes,healthcare: (Tennessee)
2015-01,62
2015-02,57
2015-03,56
2015-04,59
2015-05,53
2015-06,61
2015-07,69
2015-08,65
2015-09,65
2015-10,60
2015-11,66
2015-12,61
2016-01,53
2016-02,55
2016-03,54
2016-04,53
2016-05,51
2016-06,54
2016-07,51
2016-08,54
2016-09,55
2016-10,51
2016-11,55
2016-12,48
2017-01,61
2017-02,53
2017-03,70
2017-04,50
2017-05,63
2017-06,57
2017-07,52
2017-08,52
2017-09,57
2017-10,59
2017-11,59
2017-12,48
2018-01,60
2018-02,57
2018-03,54
2018-04,50
2018-05,47
2018-06,50
2018-07,52
2018-08,56
2018-09,49
2018-10,51
2018-11,47
2018-12,48
2019-01,58
2019-02,60
2019-03,51
2019-04,53
2019-05,49
2019-06,53
2019-07,50
2019-08,51
2019-09,55
2019-10,56
2019-11,51
2019-12,45
2020-01,57
2020-02,59
2020-03,63
2020-04,79
2020-05,58
2020-06,48
2020-07,49
2020-08,50
2020-09,54
2020-10,51
2020-11,49
2020-12,50
2021-01,53
2021-02,52
2021-03,50
2021-04,50
2021-05,47
2021-06,47
2021-07,50
2021-08,68
2021-09,56
2021-10,55
2021-11,55
2021-12,58
2022-01,74
2022-02,66
2022-03,61
2022-04,62
2022-05,58
2022-06,60
2022-07,56
2022-08,63
2022-09,59
2022-10,58
2022-11,58
2022-12,54
2023-01,69
2023-02,62
2023-03,62
2023-04,66
2023-05,57
2023-06,56
2023-07,55
2023-08,66
2023-09,59
2023-10,65
2023-11,61
2023-12,55
2024-01,69
2024-02,74
2024-03,69
2024-04,68
2024-05,58
2024-06,52
2024-07,51
2024-08,59
2024-09,64
2024-10,68
2024-11,57
2024-12,100
2025-01,71
2025-02,69
2025-03,65
2025-04,63
2025-05,66
