Category: All categories

Month,healthcare: (U.S. Virgin Islands)
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,57
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,48
2016-08,100
2016-09,0
2016-10,40
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,37
2017-04,0
2017-05,47
2017-06,78
2017-07,45
2017-08,49
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,58
2018-06,0
2018-07,38
2018-08,0
2018-09,38
2018-10,0
2018-11,0
2018-12,47
2019-01,44
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,40
2019-10,41
2019-11,0
2019-12,0
2020-01,0
2020-02,38
2020-03,34
2020-04,43
2020-05,62
2020-06,29
2020-07,38
2020-08,0
2020-09,45
2020-10,30
2020-11,48
2020-12,0
2021-01,38
2021-02,47
2021-03,46
2021-04,48
2021-05,41
2021-06,28
2021-07,47
2021-08,38
2021-09,58
2021-10,40
2021-11,46
2021-12,77
2022-01,75
2022-02,52
2022-03,43
2022-04,40
2022-05,32
2022-06,30
2022-07,47
2022-08,56
2022-09,37
2022-10,30
2022-11,34
2022-12,30
2023-01,24
2023-02,39
2023-03,32
2023-04,40
2023-05,32
2023-06,31
2023-07,42
2023-08,25
2023-09,0
2023-10,42
2023-11,0
2023-12,26
2024-01,33
2024-02,41
2024-03,35
2024-04,34
2024-05,42
2024-06,31
2024-07,53
2024-08,46
2024-09,61
2024-10,39
2024-11,42
2024-12,80
2025-01,33
2025-02,61
2025-03,42
2025-04,50
2025-05,37
