Categoría: Todas las categorías

Mes,healthcare: (Vermont)
2015-01,41
2015-02,40
2015-03,45
2015-04,40
2015-05,37
2015-06,42
2015-07,33
2015-08,41
2015-09,38
2015-10,38
2015-11,33
2015-12,37
2016-01,33
2016-02,39
2016-03,36
2016-04,33
2016-05,33
2016-06,29
2016-07,32
2016-08,24
2016-09,32
2016-10,36
2016-11,37
2016-12,34
2017-01,43
2017-02,36
2017-03,52
2017-04,35
2017-05,52
2017-06,42
2017-07,48
2017-08,32
2017-09,39
2017-10,40
2017-11,42
2017-12,34
2018-01,39
2018-02,38
2018-03,37
2018-04,36
2018-05,35
2018-06,37
2018-07,38
2018-08,35
2018-09,34
2018-10,35
2018-11,34
2018-12,31
2019-01,39
2019-02,40
2019-03,37
2019-04,37
2019-05,34
2019-06,37
2019-07,38
2019-08,31
2019-09,39
2019-10,43
2019-11,32
2019-12,33
2020-01,45
2020-02,43
2020-03,52
2020-04,62
2020-05,47
2020-06,41
2020-07,43
2020-08,40
2020-09,44
2020-10,44
2020-11,46
2020-12,48
2021-01,40
2021-02,49
2021-03,46
2021-04,46
2021-05,39
2021-06,46
2021-07,43
2021-08,42
2021-09,43
2021-10,50
2021-11,48
2021-12,45
2022-01,57
2022-02,49
2022-03,51
2022-04,52
2022-05,50
2022-06,53
2022-07,39
2022-08,51
2022-09,47
2022-10,46
2022-11,49
2022-12,49
2023-01,52
2023-02,49
2023-03,58
2023-04,50
2023-05,46
2023-06,47
2023-07,42
2023-08,44
2023-09,49
2023-10,49
2023-11,45
2023-12,41
2024-01,52
2024-02,55
2024-03,54
2024-04,56
2024-05,48
2024-06,42
2024-07,43
2024-08,46
2024-09,52
2024-10,55
2024-11,52
2024-12,100
2025-01,58
2025-02,53
2025-03,60
2025-04,61
2025-05,49
