Categoría: Todas las categorías

Mes,healthcare: (Washington)
2015-01,42
2015-02,44
2015-03,43
2015-04,42
2015-05,44
2015-06,42
2015-07,42
2015-08,40
2015-09,40
2015-10,46
2015-11,45
2015-12,41
2016-01,46
2016-02,44
2016-03,43
2016-04,37
2016-05,38
2016-06,37
2016-07,37
2016-08,38
2016-09,38
2016-10,39
2016-11,44
2016-12,37
2017-01,45
2017-02,43
2017-03,58
2017-04,38
2017-05,52
2017-06,47
2017-07,47
2017-08,38
2017-09,45
2017-10,44
2017-11,45
2017-12,41
2018-01,45
2018-02,42
2018-03,38
2018-04,40
2018-05,44
2018-06,38
2018-07,39
2018-08,38
2018-09,38
2018-10,43
2018-11,42
2018-12,39
2019-01,48
2019-02,41
2019-03,40
2019-04,42
2019-05,38
2019-06,40
2019-07,40
2019-08,39
2019-09,37
2019-10,41
2019-11,38
2019-12,36
2020-01,41
2020-02,47
2020-03,60
2020-04,61
2020-05,47
2020-06,40
2020-07,42
2020-08,35
2020-09,36
2020-10,43
2020-11,42
2020-12,44
2021-01,44
2021-02,46
2021-03,44
2021-04,41
2021-05,39
2021-06,43
2021-07,44
2021-08,44
2021-09,45
2021-10,44
2021-11,48
2021-12,44
2022-01,55
2022-02,54
2022-03,56
2022-04,53
2022-05,52
2022-06,47
2022-07,44
2022-08,51
2022-09,50
2022-10,48
2022-11,49
2022-12,43
2023-01,53
2023-02,55
2023-03,57
2023-04,49
2023-05,52
2023-06,52
2023-07,49
2023-08,50
2023-09,49
2023-10,54
2023-11,56
2023-12,47
2024-01,57
2024-02,61
2024-03,59
2024-04,54
2024-05,53
2024-06,44
2024-07,43
2024-08,45
2024-09,47
2024-10,55
2024-11,49
2024-12,100
2025-01,64
2025-02,61
2025-03,57
2025-04,54
2025-05,54
