Categoría: Todas las categorías

Mes,healthcare: (Virginia Occidental)
2015-01,48
2015-02,52
2015-03,56
2015-04,58
2015-05,48
2015-06,56
2015-07,54
2015-08,53
2015-09,56
2015-10,54
2015-11,48
2015-12,45
2016-01,50
2016-02,44
2016-03,51
2016-04,49
2016-05,43
2016-06,45
2016-07,41
2016-08,50
2016-09,46
2016-10,47
2016-11,46
2016-12,37
2017-01,50
2017-02,45
2017-03,56
2017-04,46
2017-05,55
2017-06,54
2017-07,56
2017-08,44
2017-09,45
2017-10,48
2017-11,47
2017-12,44
2018-01,45
2018-02,45
2018-03,45
2018-04,45
2018-05,45
2018-06,46
2018-07,43
2018-08,47
2018-09,48
2018-10,46
2018-11,46
2018-12,35
2019-01,45
2019-02,45
2019-03,42
2019-04,48
2019-05,41
2019-06,38
2019-07,40
2019-08,45
2019-09,44
2019-10,43
2019-11,46
2019-12,41
2020-01,43
2020-02,52
2020-03,58
2020-04,100
2020-05,76
2020-06,47
2020-07,44
2020-08,45
2020-09,46
2020-10,51
2020-11,45
2020-12,46
2021-01,48
2021-02,46
2021-03,50
2021-04,45
2021-05,47
2021-06,48
2021-07,46
2021-08,55
2021-09,58
2021-10,49
2021-11,50
2021-12,48
2022-01,55
2022-02,54
2022-03,55
2022-04,53
2022-05,50
2022-06,51
2022-07,51
2022-08,55
2022-09,54
2022-10,53
2022-11,52
2022-12,44
2023-01,54
2023-02,55
2023-03,54
2023-04,54
2023-05,58
2023-06,54
2023-07,51
2023-08,59
2023-09,61
2023-10,62
2023-11,56
2023-12,52
2024-01,63
2024-02,68
2024-03,65
2024-04,62
2024-05,59
2024-06,53
2024-07,60
2024-08,60
2024-09,65
2024-10,64
2024-11,58
2024-12,84
2025-01,63
2025-02,64
2025-03,63
2025-04,62
2025-05,60
