Categoría: Todas las categorías

Mes,healthcare: (Distrito de Columbia)
2015-01,32
2015-02,31
2015-03,31
2015-04,28
2015-05,27
2015-06,30
2015-07,28
2015-08,27
2015-09,30
2015-10,30
2015-11,30
2015-12,29
2016-01,29
2016-02,30
2016-03,29
2016-04,29
2016-05,27
2016-06,28
2016-07,24
2016-08,27
2016-09,28
2016-10,28
2016-11,32
2016-12,26
2017-01,32
2017-02,31
2017-03,47
2017-04,30
2017-05,39
2017-06,37
2017-07,46
2017-08,31
2017-09,33
2017-10,33
2017-11,38
2017-12,38
2018-01,45
2018-02,45
2018-03,40
2018-04,42
2018-05,41
2018-06,41
2018-07,43
2018-08,46
2018-09,44
2018-10,53
2018-11,53
2018-12,47
2019-01,57
2019-02,52
2019-03,52
2019-04,43
2019-05,39
2019-06,44
2019-07,36
2019-08,41
2019-09,41
2019-10,43
2019-11,47
2019-12,38
2020-01,44
2020-02,46
2020-03,52
2020-04,56
2020-05,47
2020-06,41
2020-07,50
2020-08,43
2020-09,48
2020-10,45
2020-11,48
2020-12,46
2021-01,42
2021-02,47
2021-03,50
2021-04,47
2021-05,41
2021-06,42
2021-07,42
2021-08,42
2021-09,49
2021-10,41
2021-11,36
2021-12,38
2022-01,47
2022-02,45
2022-03,46
2022-04,45
2022-05,43
2022-06,46
2022-07,47
2022-08,52
2022-09,48
2022-10,42
2022-11,45
2022-12,38
2023-01,47
2023-02,49
2023-03,47
2023-04,43
2023-05,40
2023-06,43
2023-07,43
2023-08,48
2023-09,50
2023-10,52
2023-11,49
2023-12,46
2024-01,48
2024-02,50
2024-03,50
2024-04,53
2024-05,47
2024-06,43
2024-07,45
2024-08,48
2024-09,49
2024-10,53
2024-11,47
2024-12,100
2025-01,48
2025-02,52
2025-03,49
2025-04,51
2025-05,51
