Categoría: Todas las categorías

Mes,healthcare: (Hawái)
2015-01,50
2015-02,51
2015-03,49
2015-04,48
2015-05,44
2015-06,53
2015-07,48
2015-08,44
2015-09,45
2015-10,51
2015-11,52
2015-12,39
2016-01,36
2016-02,43
2016-03,43
2016-04,42
2016-05,46
2016-06,36
2016-07,38
2016-08,40
2016-09,44
2016-10,48
2016-11,49
2016-12,37
2017-01,51
2017-02,43
2017-03,57
2017-04,44
2017-05,52
2017-06,47
2017-07,55
2017-08,41
2017-09,47
2017-10,48
2017-11,46
2017-12,40
2018-01,39
2018-02,42
2018-03,39
2018-04,43
2018-05,46
2018-06,40
2018-07,37
2018-08,44
2018-09,43
2018-10,48
2018-11,44
2018-12,38
2019-01,46
2019-02,44
2019-03,43
2019-04,38
2019-05,41
2019-06,37
2019-07,41
2019-08,38
2019-09,46
2019-10,52
2019-11,43
2019-12,40
2020-01,40
2020-02,44
2020-03,55
2020-04,73
2020-05,61
2020-06,51
2020-07,45
2020-08,47
2020-09,54
2020-10,52
2020-11,53
2020-12,50
2021-01,48
2021-02,50
2021-03,45
2021-04,50
2021-05,50
2021-06,43
2021-07,42
2021-08,50
2021-09,64
2021-10,50
2021-11,52
2021-12,49
2022-01,56
2022-02,53
2022-03,53
2022-04,52
2022-05,53
2022-06,46
2022-07,48
2022-08,52
2022-09,58
2022-10,53
2022-11,53
2022-12,43
2023-01,54
2023-02,51
2023-03,54
2023-04,55
2023-05,51
2023-06,54
2023-07,52
2023-08,53
2023-09,63
2023-10,59
2023-11,57
2023-12,48
2024-01,58
2024-02,63
2024-03,63
2024-04,58
2024-05,58
2024-06,52
2024-07,47
2024-08,57
2024-09,56
2024-10,56
2024-11,56
2024-12,100
2025-01,55
2025-02,61
2025-03,59
2025-04,58
2025-05,61
