Categoría: Todas las categorías

Mes,healthcare: (Rhode Island)
2015-01,44
2015-02,46
2015-03,49
2015-04,50
2015-05,44
2015-06,46
2015-07,41
2015-08,47
2015-09,43
2015-10,48
2015-11,45
2015-12,43
2016-01,42
2016-02,42
2016-03,44
2016-04,42
2016-05,39
2016-06,40
2016-07,35
2016-08,42
2016-09,39
2016-10,39
2016-11,42
2016-12,36
2017-01,43
2017-02,48
2017-03,58
2017-04,47
2017-05,53
2017-06,45
2017-07,47
2017-08,41
2017-09,43
2017-10,50
2017-11,45
2017-12,38
2018-01,47
2018-02,45
2018-03,41
2018-04,42
2018-05,43
2018-06,43
2018-07,39
2018-08,40
2018-09,41
2018-10,44
2018-11,44
2018-12,41
2019-01,50
2019-02,43
2019-03,43
2019-04,47
2019-05,40
2019-06,39
2019-07,37
2019-08,37
2019-09,37
2019-10,41
2019-11,40
2019-12,35
2020-01,40
2020-02,46
2020-03,51
2020-04,68
2020-05,50
2020-06,42
2020-07,39
2020-08,36
2020-09,39
2020-10,43
2020-11,41
2020-12,42
2021-01,42
2021-02,49
2021-03,42
2021-04,42
2021-05,42
2021-06,43
2021-07,38
2021-08,47
2021-09,51
2021-10,43
2021-11,45
2021-12,45
2022-01,47
2022-02,51
2022-03,50
2022-04,46
2022-05,42
2022-06,46
2022-07,42
2022-08,49
2022-09,49
2022-10,46
2022-11,43
2022-12,41
2023-01,49
2023-02,46
2023-03,48
2023-04,48
2023-05,47
2023-06,48
2023-07,44
2023-08,46
2023-09,53
2023-10,50
2023-11,50
2023-12,41
2024-01,60
2024-02,60
2024-03,60
2024-04,54
2024-05,50
2024-06,42
2024-07,45
2024-08,50
2024-09,47
2024-10,53
2024-11,51
2024-12,100
2025-01,53
2025-02,58
2025-03,53
2025-04,54
2025-05,51
