Categoría: Todas las categorías

Mes,healthcare: (Virginia)
2015-01,19
2015-02,20
2015-03,19
2015-04,20
2015-05,20
2015-06,22
2015-07,42
2015-08,48
2015-09,42
2015-10,43
2015-11,44
2015-12,46
2016-01,38
2016-02,41
2016-03,42
2016-04,37
2016-05,39
2016-06,39
2016-07,39
2016-08,38
2016-09,39
2016-10,38
2016-11,42
2016-12,37
2017-01,45
2017-02,42
2017-03,63
2017-04,43
2017-05,54
2017-06,44
2017-07,50
2017-08,41
2017-09,38
2017-10,45
2017-11,51
2017-12,44
2018-01,44
2018-02,46
2018-03,42
2018-04,44
2018-05,38
2018-06,41
2018-07,41
2018-08,41
2018-09,40
2018-10,43
2018-11,40
2018-12,37
2019-01,46
2019-02,40
2019-03,43
2019-04,42
2019-05,36
2019-06,38
2019-07,39
2019-08,40
2019-09,40
2019-10,42
2019-11,42
2019-12,36
2020-01,42
2020-02,47
2020-03,61
2020-04,77
2020-05,56
2020-06,45
2020-07,44
2020-08,40
2020-09,44
2020-10,47
2020-11,42
2020-12,48
2021-01,47
2021-02,46
2021-03,49
2021-04,47
2021-05,45
2021-06,45
2021-07,47
2021-08,46
2021-09,51
2021-10,49
2021-11,49
2021-12,51
2022-01,57
2022-02,55
2022-03,54
2022-04,52
2022-05,51
2022-06,50
2022-07,49
2022-08,54
2022-09,53
2022-10,51
2022-11,49
2022-12,48
2023-01,55
2023-02,57
2023-03,54
2023-04,51
2023-05,54
2023-06,53
2023-07,52
2023-08,51
2023-09,52
2023-10,53
2023-11,53
2023-12,50
2024-01,61
2024-02,65
2024-03,61
2024-04,60
2024-05,54
2024-06,49
2024-07,54
2024-08,56
2024-09,55
2024-10,60
2024-11,57
2024-12,100
2025-01,61
2025-02,63
2025-03,61
2025-04,60
2025-05,56
