Categoría: Todas las categorías

Mes,healthcare: (Massachusetts)
2015-01,41
2015-02,41
2015-03,47
2015-04,41
2015-05,40
2015-06,43
2015-07,44
2015-08,43
2015-09,43
2015-10,45
2015-11,45
2015-12,37
2016-01,44
2016-02,45
2016-03,43
2016-04,41
2016-05,36
2016-06,37
2016-07,33
2016-08,39
2016-09,38
2016-10,41
2016-11,44
2016-12,36
2017-01,52
2017-02,43
2017-03,61
2017-04,46
2017-05,56
2017-06,44
2017-07,51
2017-08,42
2017-09,46
2017-10,45
2017-11,44
2017-12,39
2018-01,49
2018-02,50
2018-03,49
2018-04,47
2018-05,43
2018-06,47
2018-07,46
2018-08,47
2018-09,47
2018-10,48
2018-11,44
2018-12,39
2019-01,51
2019-02,49
2019-03,49
2019-04,50
2019-05,44
2019-06,45
2019-07,45
2019-08,47
2019-09,50
2019-10,51
2019-11,46
2019-12,40
2020-01,49
2020-02,51
2020-03,58
2020-04,70
2020-05,56
2020-06,48
2020-07,48
2020-08,46
2020-09,47
2020-10,51
2020-11,46
2020-12,52
2021-01,51
2021-02,52
2021-03,52
2021-04,44
2021-05,42
2021-06,41
2021-07,40
2021-08,41
2021-09,50
2021-10,44
2021-11,47
2021-12,47
2022-01,56
2022-02,54
2022-03,52
2022-04,51
2022-05,48
2022-06,47
2022-07,47
2022-08,52
2022-09,48
2022-10,50
2022-11,50
2022-12,44
2023-01,51
2023-02,54
2023-03,54
2023-04,51
2023-05,50
2023-06,51
2023-07,47
2023-08,46
2023-09,51
2023-10,53
2023-11,50
2023-12,43
2024-01,56
2024-02,58
2024-03,59
2024-04,56
2024-05,50
2024-06,44
2024-07,50
2024-08,48
2024-09,54
2024-10,56
2024-11,49
2024-12,100
2025-01,58
2025-02,58
2025-03,56
2025-04,54
2025-05,48
