Categoría: Todas las categorías

Mes,healthcare: (Texas)
2015-01,55
2015-02,58
2015-03,50
2015-04,51
2015-05,44
2015-06,51
2015-07,45
2015-08,46
2015-09,45
2015-10,48
2015-11,47
2015-12,50
2016-01,51
2016-02,49
2016-03,47
2016-04,45
2016-05,42
2016-06,43
2016-07,41
2016-08,45
2016-09,45
2016-10,46
2016-11,50
2016-12,42
2017-01,54
2017-02,50
2017-03,57
2017-04,45
2017-05,56
2017-06,52
2017-07,53
2017-08,47
2017-09,50
2017-10,50
2017-11,52
2017-12,48
2018-01,53
2018-02,51
2018-03,45
2018-04,50
2018-05,45
2018-06,45
2018-07,46
2018-08,50
2018-09,50
2018-10,52
2018-11,47
2018-12,44
2019-01,49
2019-02,48
2019-03,44
2019-04,46
2019-05,43
2019-06,45
2019-07,45
2019-08,46
2019-09,46
2019-10,45
2019-11,44
2019-12,41
2020-01,48
2020-02,48
2020-03,52
2020-04,62
2020-05,49
2020-06,48
2020-07,44
2020-08,43
2020-09,47
2020-10,50
2020-11,49
2020-12,52
2021-01,54
2021-02,48
2021-03,52
2021-04,51
2021-05,48
2021-06,49
2021-07,49
2021-08,53
2021-09,56
2021-10,53
2021-11,54
2021-12,57
2022-01,67
2022-02,64
2022-03,65
2022-04,60
2022-05,56
2022-06,59
2022-07,58
2022-08,61
2022-09,60
2022-10,57
2022-11,55
2022-12,51
2023-01,57
2023-02,57
2023-03,56
2023-04,55
2023-05,57
2023-06,58
2023-07,58
2023-08,64
2023-09,62
2023-10,60
2023-11,61
2023-12,55
2024-01,68
2024-02,68
2024-03,63
2024-04,65
2024-05,55
2024-06,56
2024-07,54
2024-08,58
2024-09,63
2024-10,63
2024-11,61
2024-12,100
2025-01,70
2025-02,67
2025-03,62
2025-04,68
2025-05,61
