Category: All categories

Month,rent: (Virginia)
2015-01,39
2015-02,37
2015-03,38
2015-04,39
2015-05,43
2015-06,46
2015-07,74
2015-08,71
2015-09,65
2015-10,61
2015-11,57
2015-12,57
2016-01,80
2016-02,78
2016-03,84
2016-04,83
2016-05,84
2016-06,90
2016-07,92
2016-08,83
2016-09,72
2016-10,76
2016-11,69
2016-12,75
2017-01,87
2017-02,84
2017-03,88
2017-04,94
2017-05,96
2017-06,97
2017-07,100
2017-08,89
2017-09,71
2017-10,75
2017-11,70
2017-12,70
2018-01,82
2018-02,79
2018-03,85
2018-04,86
2018-05,81
2018-06,89
2018-07,90
2018-08,80
2018-09,67
2018-10,70
2018-11,64
2018-12,66
2019-01,84
2019-02,74
2019-03,84
2019-04,79
2019-05,85
2019-06,89
2019-07,87
2019-08,83
2019-09,72
2019-10,67
2019-11,61
2019-12,62
2020-01,79
2020-02,79
2020-03,69
2020-04,68
2020-05,81
2020-06,88
2020-07,94
2020-08,86
2020-09,77
2020-10,75
2020-11,66
2020-12,63
2021-01,80
2021-02,81
2021-03,90
2021-04,94
2021-05,92
2021-06,98
2021-07,93
2021-08,93
2021-09,82
2021-10,77
2021-11,75
2021-12,76
2022-01,83
2022-02,87
2022-03,88
2022-04,84
2022-05,86
2022-06,90
2022-07,90
2022-08,82
2022-09,72
2022-10,68
2022-11,61
2022-12,58
2023-01,71
2023-02,69
2023-03,75
2023-04,71
2023-05,72
2023-06,76
2023-07,77
2023-08,69
2023-09,60
2023-10,58
2023-11,56
2023-12,55
2024-01,62
2024-02,62
2024-03,63
2024-04,64
2024-05,64
2024-06,69
2024-07,72
2024-08,59
2024-09,56
2024-10,55
2024-11,53
2024-12,49
2025-01,60
2025-02,59
2025-03,63
2025-04,61
2025-05,63
