Category: All categories

Month,rent: (Alaska)
2015-01,62
2015-02,62
2015-03,66
2015-04,66
2015-05,66
2015-06,70
2015-07,70
2015-08,67
2015-09,58
2015-10,53
2015-11,50
2015-12,51
2016-01,65
2016-02,68
2016-03,68
2016-04,80
2016-05,83
2016-06,87
2016-07,80
2016-08,71
2016-09,63
2016-10,54
2016-11,51
2016-12,55
2017-01,66
2017-02,63
2017-03,66
2017-04,70
2017-05,67
2017-06,66
2017-07,75
2017-08,74
2017-09,59
2017-10,52
2017-11,52
2017-12,48
2018-01,63
2018-02,60
2018-03,71
2018-04,73
2018-05,73
2018-06,73
2018-07,77
2018-08,76
2018-09,62
2018-10,55
2018-11,55
2018-12,56
2019-01,69
2019-02,60
2019-03,71
2019-04,69
2019-05,78
2019-06,79
2019-07,81
2019-08,72
2019-09,70
2019-10,58
2019-11,55
2019-12,54
2020-01,69
2020-02,63
2020-03,61
2020-04,59
2020-05,79
2020-06,79
2020-07,80
2020-08,77
2020-09,67
2020-10,60
2020-11,55
2020-12,57
2021-01,69
2021-02,81
2021-03,91
2021-04,98
2021-05,96
2021-06,100
2021-07,97
2021-08,84
2021-09,88
2021-10,80
2021-11,75
2021-12,63
2022-01,76
2022-02,86
2022-03,90
2022-04,84
2022-05,83
2022-06,81
2022-07,90
2022-08,79
2022-09,71
2022-10,69
2022-11,61
2022-12,54
2023-01,70
2023-02,67
2023-03,73
2023-04,76
2023-05,81
2023-06,80
2023-07,85
2023-08,74
2023-09,71
2023-10,62
2023-11,52
2023-12,52
2024-01,56
2024-02,66
2024-03,64
2024-04,69
2024-05,74
2024-06,71
2024-07,67
2024-08,59
2024-09,56
2024-10,53
2024-11,55
2024-12,51
2025-01,65
2025-02,59
2025-03,66
2025-04,67
2025-05,70
