Category: All categories

Month,rent: (Alabama)
2015-01,64
2015-02,59
2015-03,67
2015-04,63
2015-05,64
2015-06,77
2015-07,70
2015-08,58
2015-09,58
2015-10,50
2015-11,50
2015-12,50
2016-01,89
2016-02,84
2016-03,87
2016-04,83
2016-05,90
2016-06,93
2016-07,91
2016-08,77
2016-09,71
2016-10,69
2016-11,61
2016-12,62
2017-01,80
2017-02,84
2017-03,82
2017-04,88
2017-05,85
2017-06,92
2017-07,89
2017-08,82
2017-09,67
2017-10,71
2017-11,65
2017-12,64
2018-01,81
2018-02,83
2018-03,82
2018-04,81
2018-05,83
2018-06,88
2018-07,93
2018-08,79
2018-09,71
2018-10,73
2018-11,68
2018-12,64
2019-01,84
2019-02,83
2019-03,86
2019-04,82
2019-05,89
2019-06,93
2019-07,89
2019-08,81
2019-09,78
2019-10,71
2019-11,63
2019-12,67
2020-01,82
2020-02,78
2020-03,71
2020-04,74
2020-05,92
2020-06,95
2020-07,90
2020-08,83
2020-09,76
2020-10,77
2020-11,71
2020-12,73
2021-01,88
2021-02,83
2021-03,96
2021-04,97
2021-05,97
2021-06,97
2021-07,100
2021-08,85
2021-09,84
2021-10,85
2021-11,78
2021-12,76
2022-01,85
2022-02,91
2022-03,93
2022-04,88
2022-05,88
2022-06,97
2022-07,89
2022-08,79
2022-09,72
2022-10,71
2022-11,61
2022-12,66
2023-01,76
2023-02,74
2023-03,80
2023-04,75
2023-05,80
2023-06,82
2023-07,80
2023-08,73
2023-09,67
2023-10,65
2023-11,61
2023-12,58
2024-01,67
2024-02,69
2024-03,68
2024-04,68
2024-05,71
2024-06,72
2024-07,70
2024-08,63
2024-09,60
2024-10,60
2024-11,54
2024-12,57
2025-01,65
2025-02,67
2025-03,65
2025-04,68
2025-05,65
