Category: All categories

Month,rent: (Arkansas)
2015-01,67
2015-02,63
2015-03,68
2015-04,68
2015-05,76
2015-06,77
2015-07,77
2015-08,64
2015-09,57
2015-10,55
2015-11,62
2015-12,59
2016-01,76
2016-02,84
2016-03,82
2016-04,82
2016-05,80
2016-06,92
2016-07,88
2016-08,74
2016-09,65
2016-10,61
2016-11,59
2016-12,56
2017-01,76
2017-02,82
2017-03,76
2017-04,76
2017-05,79
2017-06,90
2017-07,94
2017-08,74
2017-09,63
2017-10,60
2017-11,60
2017-12,55
2018-01,77
2018-02,77
2018-03,84
2018-04,77
2018-05,90
2018-06,92
2018-07,94
2018-08,79
2018-09,70
2018-10,67
2018-11,60
2018-12,57
2019-01,80
2019-02,80
2019-03,81
2019-04,79
2019-05,82
2019-06,90
2019-07,94
2019-08,81
2019-09,73
2019-10,70
2019-11,66
2019-12,62
2020-01,77
2020-02,76
2020-03,69
2020-04,72
2020-05,89
2020-06,97
2020-07,94
2020-08,83
2020-09,79
2020-10,73
2020-11,68
2020-12,69
2021-01,81
2021-02,82
2021-03,99
2021-04,96
2021-05,96
2021-06,100
2021-07,99
2021-08,93
2021-09,95
2021-10,89
2021-11,92
2021-12,89
2022-01,94
2022-02,96
2022-03,93
2022-04,88
2022-05,85
2022-06,93
2022-07,88
2022-08,84
2022-09,71
2022-10,67
2022-11,63
2022-12,60
2023-01,71
2023-02,73
2023-03,75
2023-04,72
2023-05,76
2023-06,80
2023-07,81
2023-08,71
2023-09,64
2023-10,64
2023-11,55
2023-12,54
2024-01,61
2024-02,65
2024-03,63
2024-04,63
2024-05,60
2024-06,63
2024-07,71
2024-08,60
2024-09,53
2024-10,55
2024-11,46
2024-12,49
2025-01,58
2025-02,55
2025-03,58
2025-04,59
2025-05,67
