Category: All categories

Month,rent: (Arizona)
2015-01,78
2015-02,76
2015-03,84
2015-04,74
2015-05,80
2015-06,86
2015-07,82
2015-08,78
2015-09,68
2015-10,65
2015-11,61
2015-12,61
2016-01,85
2016-02,84
2016-03,88
2016-04,89
2016-05,91
2016-06,92
2016-07,93
2016-08,82
2016-09,77
2016-10,70
2016-11,70
2016-12,65
2017-01,83
2017-02,79
2017-03,87
2017-04,83
2017-05,87
2017-06,93
2017-07,88
2017-08,80
2017-09,75
2017-10,72
2017-11,68
2017-12,66
2018-01,82
2018-02,81
2018-03,83
2018-04,89
2018-05,83
2018-06,90
2018-07,89
2018-08,82
2018-09,76
2018-10,74
2018-11,66
2018-12,72
2019-01,92
2019-02,83
2019-03,90
2019-04,85
2019-05,88
2019-06,92
2019-07,93
2019-08,81
2019-09,80
2019-10,74
2019-11,68
2019-12,69
2020-01,83
2020-02,81
2020-03,74
2020-04,76
2020-05,90
2020-06,91
2020-07,96
2020-08,81
2020-09,80
2020-10,77
2020-11,69
2020-12,70
2021-01,86
2021-02,88
2021-03,94
2021-04,91
2021-05,96
2021-06,94
2021-07,100
2021-08,94
2021-09,88
2021-10,81
2021-11,77
2021-12,73
2022-01,82
2022-02,84
2022-03,84
2022-04,84
2022-05,84
2022-06,88
2022-07,91
2022-08,77
2022-09,72
2022-10,67
2022-11,58
2022-12,59
2023-01,68
2023-02,66
2023-03,70
2023-04,72
2023-05,76
2023-06,77
2023-07,75
2023-08,70
2023-09,64
2023-10,60
2023-11,56
2023-12,54
2024-01,62
2024-02,63
2024-03,64
2024-04,65
2024-05,69
2024-06,72
2024-07,70
2024-08,65
2024-09,58
2024-10,56
2024-11,52
2024-12,53
2025-01,62
2025-02,60
2025-03,62
2025-04,60
2025-05,62
