Category: All categories

Month,rent: (California)
2015-01,72
2015-02,71
2015-03,77
2015-04,73
2015-05,75
2015-06,84
2015-07,82
2015-08,79
2015-09,70
2015-10,68
2015-11,60
2015-12,61
2016-01,86
2016-02,84
2016-03,84
2016-04,89
2016-05,89
2016-06,88
2016-07,93
2016-08,90
2016-09,81
2016-10,73
2016-11,71
2016-12,65
2017-01,84
2017-02,79
2017-03,83
2017-04,84
2017-05,85
2017-06,95
2017-07,95
2017-08,85
2017-09,81
2017-10,78
2017-11,73
2017-12,66
2018-01,79
2018-02,83
2018-03,84
2018-04,82
2018-05,83
2018-06,89
2018-07,88
2018-08,87
2018-09,75
2018-10,73
2018-11,69
2018-12,67
2019-01,85
2019-02,79
2019-03,82
2019-04,83
2019-05,83
2019-06,90
2019-07,91
2019-08,84
2019-09,83
2019-10,68
2019-11,70
2019-12,68
2020-01,80
2020-02,77
2020-03,67
2020-04,67
2020-05,78
2020-06,87
2020-07,94
2020-08,88
2020-09,80
2020-10,77
2020-11,70
2020-12,69
2021-01,84
2021-02,86
2021-03,90
2021-04,90
2021-05,96
2021-06,100
2021-07,96
2021-08,91
2021-09,90
2021-10,86
2021-11,84
2021-12,76
2022-01,86
2022-02,90
2022-03,92
2022-04,87
2022-05,84
2022-06,85
2022-07,89
2022-08,82
2022-09,73
2022-10,68
2022-11,68
2022-12,59
2023-01,72
2023-02,67
2023-03,68
2023-04,72
2023-05,74
2023-06,78
2023-07,80
2023-08,74
2023-09,64
2023-10,61
2023-11,59
2023-12,59
2024-01,62
2024-02,59
2024-03,62
2024-04,65
2024-05,64
2024-06,66
2024-07,66
2024-08,67
2024-09,60
2024-10,56
2024-11,54
2024-12,53
2025-01,62
2025-02,60
2025-03,61
2025-04,61
2025-05,61
