Category: All categories

Month,rent: (District of Columbia)
2015-01,68
2015-02,65
2015-03,74
2015-04,73
2015-05,79
2015-06,85
2015-07,92
2015-08,93
2015-09,83
2015-10,77
2015-11,70
2015-12,71
2016-01,76
2016-02,76
2016-03,80
2016-04,79
2016-05,78
2016-06,85
2016-07,82
2016-08,80
2016-09,71
2016-10,64
2016-11,61
2016-12,60
2017-01,75
2017-02,73
2017-03,70
2017-04,75
2017-05,78
2017-06,79
2017-07,77
2017-08,72
2017-09,63
2017-10,63
2017-11,61
2017-12,59
2018-01,85
2018-02,67
2018-03,65
2018-04,69
2018-05,75
2018-06,67
2018-07,75
2018-08,71
2018-09,64
2018-10,61
2018-11,62
2018-12,63
2019-01,80
2019-02,74
2019-03,66
2019-04,70
2019-05,72
2019-06,82
2019-07,78
2019-08,75
2019-09,76
2019-10,59
2019-11,67
2019-12,66
2020-01,73
2020-02,70
2020-03,67
2020-04,69
2020-05,81
2020-06,92
2020-07,93
2020-08,93
2020-09,83
2020-10,81
2020-11,80
2020-12,81
2021-01,82
2021-02,81
2021-03,83
2021-04,95
2021-05,95
2021-06,92
2021-07,88
2021-08,94
2021-09,79
2021-10,75
2021-11,69
2021-12,65
2022-01,84
2022-02,80
2022-03,79
2022-04,77
2022-05,84
2022-06,82
2022-07,88
2022-08,82
2022-09,72
2022-10,69
2022-11,63
2022-12,63
2023-01,71
2023-02,69
2023-03,71
2023-04,78
2023-05,78
2023-06,76
2023-07,83
2023-08,81
2023-09,64
2023-10,59
2023-11,59
2023-12,61
2024-01,61
2024-02,63
2024-03,67
2024-04,74
2024-05,68
2024-06,73
2024-07,71
2024-08,68
2024-09,61
2024-10,56
2024-11,54
2024-12,57
2025-01,71
2025-02,77
2025-03,71
2025-04,87
2025-05,100
