Category: All categories

Month,rent: (Delaware)
2015-01,61
2015-02,64
2015-03,62
2015-04,64
2015-05,69
2015-06,73
2015-07,71
2015-08,72
2015-09,65
2015-10,59
2015-11,51
2015-12,49
2016-01,99
2016-02,71
2016-03,78
2016-04,82
2016-05,80
2016-06,84
2016-07,90
2016-08,84
2016-09,77
2016-10,72
2016-11,62
2016-12,64
2017-01,82
2017-02,80
2017-03,82
2017-04,82
2017-05,82
2017-06,92
2017-07,93
2017-08,89
2017-09,75
2017-10,73
2017-11,68
2017-12,57
2018-01,81
2018-02,83
2018-03,85
2018-04,88
2018-05,84
2018-06,86
2018-07,91
2018-08,87
2018-09,81
2018-10,71
2018-11,70
2018-12,67
2019-01,87
2019-02,86
2019-03,87
2019-04,84
2019-05,81
2019-06,91
2019-07,90
2019-08,85
2019-09,78
2019-10,75
2019-11,66
2019-12,64
2020-01,82
2020-02,85
2020-03,69
2020-04,68
2020-05,74
2020-06,83
2020-07,91
2020-08,90
2020-09,75
2020-10,79
2020-11,67
2020-12,68
2021-01,92
2021-02,85
2021-03,89
2021-04,100
2021-05,93
2021-06,96
2021-07,92
2021-08,98
2021-09,97
2021-10,85
2021-11,80
2021-12,75
2022-01,86
2022-02,97
2022-03,89
2022-04,83
2022-05,82
2022-06,86
2022-07,85
2022-08,86
2022-09,77
2022-10,69
2022-11,65
2022-12,65
2023-01,76
2023-02,72
2023-03,78
2023-04,73
2023-05,73
2023-06,78
2023-07,77
2023-08,75
2023-09,65
2023-10,63
2023-11,59
2023-12,58
2024-01,67
2024-02,64
2024-03,60
2024-04,65
2024-05,66
2024-06,70
2024-07,70
2024-08,66
2024-09,61
2024-10,56
2024-11,55
2024-12,55
2025-01,67
2025-02,61
2025-03,68
2025-04,62
2025-05,66
