Category: All categories

Month,rent: (Georgia)
2015-01,91
2015-02,88
2015-03,87
2015-04,88
2015-05,94
2015-06,98
2015-07,91
2015-08,80
2015-09,71
2015-10,69
2015-11,63
2015-12,63
2016-01,88
2016-02,94
2016-03,95
2016-04,92
2016-05,96
2016-06,97
2016-07,92
2016-08,86
2016-09,81
2016-10,76
2016-11,70
2016-12,68
2017-01,84
2017-02,89
2017-03,85
2017-04,86
2017-05,91
2017-06,100
2017-07,99
2017-08,86
2017-09,77
2017-10,79
2017-11,72
2017-12,69
2018-01,83
2018-02,87
2018-03,94
2018-04,84
2018-05,92
2018-06,95
2018-07,95
2018-08,91
2018-09,75
2018-10,72
2018-11,69
2018-12,72
2019-01,92
2019-02,89
2019-03,98
2019-04,86
2019-05,91
2019-06,99
2019-07,94
2019-08,85
2019-09,76
2019-10,75
2019-11,66
2019-12,70
2020-01,81
2020-02,87
2020-03,74
2020-04,73
2020-05,85
2020-06,94
2020-07,89
2020-08,88
2020-09,77
2020-10,75
2020-11,71
2020-12,70
2021-01,83
2021-02,84
2021-03,92
2021-04,94
2021-05,94
2021-06,97
2021-07,95
2021-08,87
2021-09,88
2021-10,82
2021-11,77
2021-12,77
2022-01,88
2022-02,97
2022-03,94
2022-04,87
2022-05,86
2022-06,89
2022-07,87
2022-08,82
2022-09,71
2022-10,70
2022-11,63
2022-12,62
2023-01,78
2023-02,73
2023-03,74
2023-04,74
2023-05,76
2023-06,81
2023-07,79
2023-08,69
2023-09,67
2023-10,60
2023-11,59
2023-12,57
2024-01,66
2024-02,64
2024-03,63
2024-04,63
2024-05,65
2024-06,71
2024-07,64
2024-08,61
2024-09,56
2024-10,58
2024-11,56
2024-12,55
2025-01,61
2025-02,62
2025-03,64
2025-04,61
2025-05,63
