Category: All categories

Month,rent: (Guam)
2015-01,68
2015-02,50
2015-03,70
2015-04,58
2015-05,64
2015-06,67
2015-07,76
2015-08,78
2015-09,71
2015-10,61
2015-11,52
2015-12,61
2016-01,68
2016-02,59
2016-03,68
2016-04,58
2016-05,68
2016-06,71
2016-07,71
2016-08,79
2016-09,64
2016-10,71
2016-11,63
2016-12,59
2017-01,69
2017-02,76
2017-03,68
2017-04,71
2017-05,78
2017-06,72
2017-07,67
2017-08,74
2017-09,75
2017-10,65
2017-11,70
2017-12,63
2018-01,70
2018-02,71
2018-03,69
2018-04,69
2018-05,70
2018-06,84
2018-07,80
2018-08,74
2018-09,72
2018-10,70
2018-11,78
2018-12,72
2019-01,65
2019-02,76
2019-03,76
2019-04,79
2019-05,77
2019-06,88
2019-07,79
2019-08,81
2019-09,73
2019-10,77
2019-11,75
2019-12,66
2020-01,69
2020-02,73
2020-03,55
2020-04,52
2020-05,61
2020-06,74
2020-07,79
2020-08,69
2020-09,57
2020-10,65
2020-11,75
2020-12,69
2021-01,69
2021-02,76
2021-03,69
2021-04,74
2021-05,80
2021-06,78
2021-07,89
2021-08,88
2021-09,80
2021-10,71
2021-11,83
2021-12,69
2022-01,81
2022-02,73
2022-03,76
2022-04,78
2022-05,76
2022-06,82
2022-07,77
2022-08,83
2022-09,72
2022-10,61
2022-11,73
2022-12,73
2023-01,82
2023-02,83
2023-03,80
2023-04,65
2023-05,75
2023-06,95
2023-07,100
2023-08,84
2023-09,72
2023-10,67
2023-11,74
2023-12,69
2024-01,66
2024-02,68
2024-03,73
2024-04,63
2024-05,69
2024-06,82
2024-07,83
2024-08,77
2024-09,57
2024-10,72
2024-11,64
2024-12,60
2025-01,71
2025-02,69
2025-03,67
2025-04,80
2025-05,65
