Category: All categories

Month,rent: (Hawaii)
2015-01,77
2015-02,79
2015-03,80
2015-04,82
2015-05,89
2015-06,100
2015-07,88
2015-08,80
2015-09,76
2015-10,70
2015-11,68
2015-12,69
2016-01,86
2016-02,86
2016-03,82
2016-04,83
2016-05,90
2016-06,95
2016-07,95
2016-08,81
2016-09,86
2016-10,78
2016-11,69
2016-12,70
2017-01,80
2017-02,81
2017-03,83
2017-04,86
2017-05,87
2017-06,96
2017-07,96
2017-08,83
2017-09,83
2017-10,81
2017-11,84
2017-12,74
2018-01,78
2018-02,82
2018-03,86
2018-04,85
2018-05,84
2018-06,88
2018-07,90
2018-08,79
2018-09,90
2018-10,82
2018-11,76
2018-12,80
2019-01,96
2019-02,94
2019-03,85
2019-04,86
2019-05,89
2019-06,94
2019-07,94
2019-08,92
2019-09,86
2019-10,86
2019-11,79
2019-12,80
2020-01,83
2020-02,84
2020-03,70
2020-04,63
2020-05,65
2020-06,77
2020-07,78
2020-08,70
2020-09,66
2020-10,76
2020-11,71
2020-12,71
2021-01,78
2021-02,86
2021-03,91
2021-04,94
2021-05,100
2021-06,92
2021-07,94
2021-08,94
2021-09,88
2021-10,88
2021-11,87
2021-12,79
2022-01,88
2022-02,93
2022-03,99
2022-04,88
2022-05,84
2022-06,91
2022-07,85
2022-08,85
2022-09,81
2022-10,81
2022-11,71
2022-12,74
2023-01,81
2023-02,77
2023-03,81
2023-04,81
2023-05,83
2023-06,83
2023-07,84
2023-08,78
2023-09,76
2023-10,77
2023-11,81
2023-12,72
2024-01,78
2024-02,80
2024-03,76
2024-04,77
2024-05,76
2024-06,80
2024-07,76
2024-08,75
2024-09,73
2024-10,64
2024-11,69
2024-12,68
2025-01,77
2025-02,76
2025-03,75
2025-04,77
2025-05,86
