Category: All categories

Month,rent: (Maryland)
2015-01,68
2015-02,66
2015-03,67
2015-04,72
2015-05,72
2015-06,77
2015-07,75
2015-08,68
2015-09,59
2015-10,58
2015-11,51
2015-12,55
2016-01,79
2016-02,86
2016-03,84
2016-04,87
2016-05,90
2016-06,85
2016-07,95
2016-08,93
2016-09,79
2016-10,71
2016-11,70
2016-12,65
2017-01,85
2017-02,81
2017-03,80
2017-04,86
2017-05,89
2017-06,92
2017-07,95
2017-08,89
2017-09,75
2017-10,71
2017-11,73
2017-12,63
2018-01,83
2018-02,80
2018-03,82
2018-04,86
2018-05,84
2018-06,88
2018-07,93
2018-08,88
2018-09,81
2018-10,76
2018-11,69
2018-12,69
2019-01,95
2019-02,85
2019-03,85
2019-04,86
2019-05,96
2019-06,94
2019-07,99
2019-08,92
2019-09,77
2019-10,75
2019-11,71
2019-12,70
2020-01,85
2020-02,86
2020-03,72
2020-04,66
2020-05,80
2020-06,97
2020-07,92
2020-08,92
2020-09,78
2020-10,78
2020-11,68
2020-12,69
2021-01,83
2021-02,80
2021-03,96
2021-04,91
2021-05,99
2021-06,100
2021-07,98
2021-08,96
2021-09,87
2021-10,87
2021-11,83
2021-12,76
2022-01,88
2022-02,93
2022-03,91
2022-04,91
2022-05,88
2022-06,88
2022-07,93
2022-08,89
2022-09,77
2022-10,72
2022-11,65
2022-12,64
2023-01,75
2023-02,74
2023-03,77
2023-04,80
2023-05,79
2023-06,80
2023-07,84
2023-08,77
2023-09,71
2023-10,64
2023-11,58
2023-12,60
2024-01,67
2024-02,68
2024-03,67
2024-04,67
2024-05,66
2024-06,72
2024-07,74
2024-08,70
2024-09,59
2024-10,59
2024-11,53
2024-12,56
2025-01,61
2025-02,62
2025-03,65
2025-04,64
2025-05,66
