Category: All categories

Month,rent: (Minnesota)
2015-01,85
2015-02,87
2015-03,88
2015-04,88
2015-05,85
2015-06,89
2015-07,86
2015-08,81
2015-09,64
2015-10,57
2015-11,49
2015-12,54
2016-01,80
2016-02,80
2016-03,85
2016-04,88
2016-05,90
2016-06,90
2016-07,95
2016-08,86
2016-09,75
2016-10,66
2016-11,62
2016-12,61
2017-01,81
2017-02,79
2017-03,85
2017-04,87
2017-05,90
2017-06,94
2017-07,94
2017-08,88
2017-09,69
2017-10,72
2017-11,63
2017-12,60
2018-01,73
2018-02,79
2018-03,86
2018-04,84
2018-05,86
2018-06,89
2018-07,94
2018-08,85
2018-09,72
2018-10,67
2018-11,60
2018-12,59
2019-01,86
2019-02,82
2019-03,87
2019-04,86
2019-05,87
2019-06,94
2019-07,91
2019-08,83
2019-09,72
2019-10,68
2019-11,60
2019-12,59
2020-01,79
2020-02,78
2020-03,65
2020-04,66
2020-05,79
2020-06,89
2020-07,93
2020-08,84
2020-09,69
2020-10,69
2020-11,59
2020-12,62
2021-01,76
2021-02,82
2021-03,87
2021-04,90
2021-05,98
2021-06,100
2021-07,100
2021-08,99
2021-09,87
2021-10,84
2021-11,81
2021-12,74
2022-01,95
2022-02,97
2022-03,99
2022-04,89
2022-05,85
2022-06,87
2022-07,87
2022-08,83
2022-09,69
2022-10,67
2022-11,54
2022-12,56
2023-01,69
2023-02,70
2023-03,74
2023-04,78
2023-05,78
2023-06,78
2023-07,82
2023-08,73
2023-09,64
2023-10,60
2023-11,56
2023-12,56
2024-01,66
2024-02,65
2024-03,67
2024-04,67
2024-05,66
2024-06,70
2024-07,70
2024-08,66
2024-09,59
2024-10,57
2024-11,52
2024-12,54
2025-01,66
2025-02,69
2025-03,69
2025-04,72
2025-05,69
