Category: All categories

Month,rent: (Northern Mariana Islands)
2015-01,50
2015-02,0
2015-03,0
2015-04,58
2015-05,0
2015-06,50
2015-07,59
2015-08,74
2015-09,64
2015-10,0
2015-11,55
2015-12,0
2016-01,37
2016-02,54
2016-03,47
2016-04,41
2016-05,42
2016-06,86
2016-07,92
2016-08,71
2016-09,61
2016-10,71
2016-11,0
2016-12,44
2017-01,40
2017-02,62
2017-03,40
2017-04,32
2017-05,35
2017-06,39
2017-07,62
2017-08,0
2017-09,37
2017-10,50
2017-11,57
2017-12,56
2018-01,65
2018-02,0
2018-03,35
2018-04,66
2018-05,41
2018-06,49
2018-07,57
2018-08,34
2018-09,41
2018-10,47
2018-11,62
2018-12,85
2019-01,83
2019-02,53
2019-03,47
2019-04,48
2019-05,59
2019-06,58
2019-07,71
2019-08,44
2019-09,63
2019-10,52
2019-11,49
2019-12,40
2020-01,69
2020-02,46
2020-03,30
2020-04,29
2020-05,38
2020-06,45
2020-07,48
2020-08,37
2020-09,57
2020-10,48
2020-11,56
2020-12,58
2021-01,40
2021-02,0
2021-03,65
2021-04,30
2021-05,74
2021-06,69
2021-07,57
2021-08,89
2021-09,0
2021-10,45
2021-11,0
2021-12,73
2022-01,49
2022-02,50
2022-03,68
2022-04,62
2022-05,58
2022-06,75
2022-07,62
2022-08,77
2022-09,55
2022-10,30
2022-11,66
2022-12,33
2023-01,44
2023-02,73
2023-03,75
2023-04,59
2023-05,40
2023-06,92
2023-07,71
2023-08,0
2023-09,77
2023-10,43
2023-11,86
2023-12,100
2024-01,49
2024-02,52
2024-03,71
2024-04,58
2024-05,40
2024-06,48
2024-07,72
2024-08,47
2024-09,63
2024-10,40
2024-11,54
2024-12,0
2025-01,41
2025-02,46
2025-03,47
2025-04,62
2025-05,62
