Category: All categories

Month,rent: (Mississippi)
2015-01,69
2015-02,64
2015-03,69
2015-04,65
2015-05,72
2015-06,80
2015-07,79
2015-08,68
2015-09,58
2015-10,56
2015-11,53
2015-12,57
2016-01,78
2016-02,76
2016-03,80
2016-04,77
2016-05,82
2016-06,85
2016-07,86
2016-08,72
2016-09,67
2016-10,65
2016-11,59
2016-12,61
2017-01,79
2017-02,75
2017-03,77
2017-04,70
2017-05,82
2017-06,88
2017-07,92
2017-08,75
2017-09,62
2017-10,66
2017-11,61
2017-12,59
2018-01,77
2018-02,74
2018-03,82
2018-04,71
2018-05,81
2018-06,92
2018-07,100
2018-08,75
2018-09,67
2018-10,67
2018-11,60
2018-12,62
2019-01,81
2019-02,77
2019-03,83
2019-04,75
2019-05,88
2019-06,91
2019-07,91
2019-08,72
2019-09,75
2019-10,62
2019-11,62
2019-12,61
2020-01,79
2020-02,78
2020-03,76
2020-04,66
2020-05,94
2020-06,97
2020-07,98
2020-08,85
2020-09,78
2020-10,78
2020-11,70
2020-12,71
2021-01,86
2021-02,79
2021-03,98
2021-04,97
2021-05,97
2021-06,98
2021-07,99
2021-08,89
2021-09,86
2021-10,88
2021-11,80
2021-12,74
2022-01,79
2022-02,87
2022-03,97
2022-04,84
2022-05,86
2022-06,92
2022-07,90
2022-08,83
2022-09,69
2022-10,65
2022-11,61
2022-12,60
2023-01,76
2023-02,71
2023-03,80
2023-04,72
2023-05,73
2023-06,80
2023-07,79
2023-08,72
2023-09,67
2023-10,61
2023-11,56
2023-12,53
2024-01,61
2024-02,67
2024-03,62
2024-04,64
2024-05,65
2024-06,70
2024-07,70
2024-08,60
2024-09,56
2024-10,56
2024-11,55
2024-12,52
2025-01,62
2025-02,59
2025-03,64
2025-04,58
2025-05,70
