Category: All categories

Month,rent: (Montana)
2015-01,69
2015-02,63
2015-03,74
2015-04,78
2015-05,76
2015-06,84
2015-07,81
2015-08,74
2015-09,66
2015-10,60
2015-11,59
2015-12,51
2016-01,82
2016-02,74
2016-03,80
2016-04,87
2016-05,86
2016-06,93
2016-07,93
2016-08,82
2016-09,65
2016-10,62
2016-11,57
2016-12,58
2017-01,73
2017-02,75
2017-03,82
2017-04,83
2017-05,84
2017-06,89
2017-07,88
2017-08,80
2017-09,70
2017-10,65
2017-11,57
2017-12,55
2018-01,73
2018-02,72
2018-03,79
2018-04,83
2018-05,84
2018-06,86
2018-07,89
2018-08,82
2018-09,70
2018-10,63
2018-11,59
2018-12,64
2019-01,75
2019-02,76
2019-03,84
2019-04,84
2019-05,87
2019-06,89
2019-07,88
2019-08,87
2019-09,75
2019-10,66
2019-11,64
2019-12,59
2020-01,73
2020-02,82
2020-03,70
2020-04,66
2020-05,82
2020-06,91
2020-07,94
2020-08,90
2020-09,76
2020-10,68
2020-11,57
2020-12,66
2021-01,73
2021-02,82
2021-03,95
2021-04,99
2021-05,98
2021-06,100
2021-07,95
2021-08,85
2021-09,78
2021-10,77
2021-11,73
2021-12,64
2022-01,81
2022-02,87
2022-03,92
2022-04,91
2022-05,88
2022-06,85
2022-07,89
2022-08,83
2022-09,74
2022-10,68
2022-11,63
2022-12,54
2023-01,77
2023-02,74
2023-03,81
2023-04,80
2023-05,83
2023-06,84
2023-07,83
2023-08,77
2023-09,68
2023-10,61
2023-11,59
2023-12,58
2024-01,70
2024-02,67
2024-03,67
2024-04,76
2024-05,74
2024-06,74
2024-07,73
2024-08,69
2024-09,62
2024-10,61
2024-11,56
2024-12,54
2025-01,63
2025-02,64
2025-03,69
2025-04,71
2025-05,74
