Category: All categories

Month,rent: (Nebraska)
2015-01,92
2015-02,80
2015-03,86
2015-04,91
2015-05,100
2015-06,97
2015-07,90
2015-08,84
2015-09,77
2015-10,70
2015-11,67
2015-12,68
2016-01,79
2016-02,82
2016-03,87
2016-04,85
2016-05,90
2016-06,91
2016-07,85
2016-08,83
2016-09,71
2016-10,66
2016-11,62
2016-12,68
2017-01,84
2017-02,83
2017-03,84
2017-04,86
2017-05,81
2017-06,86
2017-07,89
2017-08,82
2017-09,67
2017-10,67
2017-11,64
2017-12,58
2018-01,70
2018-02,76
2018-03,78
2018-04,79
2018-05,83
2018-06,83
2018-07,87
2018-08,74
2018-09,67
2018-10,65
2018-11,61
2018-12,65
2019-01,74
2019-02,75
2019-03,85
2019-04,78
2019-05,83
2019-06,88
2019-07,86
2019-08,77
2019-09,71
2019-10,73
2019-11,63
2019-12,61
2020-01,72
2020-02,80
2020-03,70
2020-04,70
2020-05,82
2020-06,90
2020-07,90
2020-08,77
2020-09,68
2020-10,71
2020-11,67
2020-12,66
2021-01,71
2021-02,79
2021-03,87
2021-04,90
2021-05,88
2021-06,87
2021-07,88
2021-08,80
2021-09,76
2021-10,70
2021-11,70
2021-12,68
2022-01,80
2022-02,90
2022-03,92
2022-04,87
2022-05,84
2022-06,83
2022-07,83
2022-08,73
2022-09,69
2022-10,62
2022-11,57
2022-12,60
2023-01,71
2023-02,69
2023-03,74
2023-04,72
2023-05,76
2023-06,77
2023-07,76
2023-08,69
2023-09,71
2023-10,67
2023-11,65
2023-12,57
2024-01,65
2024-02,63
2024-03,64
2024-04,67
2024-05,73
2024-06,68
2024-07,73
2024-08,63
2024-09,58
2024-10,59
2024-11,54
2024-12,63
2025-01,64
2025-02,65
2025-03,71
2025-04,69
2025-05,79
