Category: All categories

Month,rent: (New Jersey)
2015-01,67
2015-02,68
2015-03,71
2015-04,78
2015-05,76
2015-06,76
2015-07,79
2015-08,77
2015-09,67
2015-10,63
2015-11,59
2015-12,54
2016-01,76
2016-02,81
2016-03,80
2016-04,84
2016-05,87
2016-06,87
2016-07,91
2016-08,87
2016-09,74
2016-10,70
2016-11,64
2016-12,60
2017-01,80
2017-02,78
2017-03,77
2017-04,85
2017-05,83
2017-06,84
2017-07,87
2017-08,86
2017-09,72
2017-10,69
2017-11,66
2017-12,61
2018-01,75
2018-02,77
2018-03,79
2018-04,84
2018-05,79
2018-06,81
2018-07,91
2018-08,87
2018-09,76
2018-10,71
2018-11,64
2018-12,64
2019-01,91
2019-02,80
2019-03,82
2019-04,78
2019-05,80
2019-06,86
2019-07,90
2019-08,86
2019-09,73
2019-10,73
2019-11,63
2019-12,63
2020-01,77
2020-02,84
2020-03,64
2020-04,60
2020-05,75
2020-06,87
2020-07,90
2020-08,88
2020-09,74
2020-10,75
2020-11,64
2020-12,65
2021-01,76
2021-02,77
2021-03,90
2021-04,89
2021-05,90
2021-06,88
2021-07,100
2021-08,89
2021-09,85
2021-10,79
2021-11,76
2021-12,70
2022-01,83
2022-02,87
2022-03,90
2022-04,83
2022-05,82
2022-06,83
2022-07,85
2022-08,90
2022-09,74
2022-10,67
2022-11,63
2022-12,59
2023-01,72
2023-02,70
2023-03,73
2023-04,74
2023-05,72
2023-06,78
2023-07,81
2023-08,79
2023-09,66
2023-10,61
2023-11,59
2023-12,55
2024-01,67
2024-02,62
2024-03,62
2024-04,68
2024-05,65
2024-06,68
2024-07,67
2024-08,66
2024-09,59
2024-10,54
2024-11,55
2024-12,53
2025-01,62
2025-02,62
2025-03,63
2025-04,65
2025-05,62
