Category: All categories

Month,rent: (New Mexico)
2015-01,64
2015-02,62
2015-03,71
2015-04,73
2015-05,71
2015-06,76
2015-07,74
2015-08,69
2015-09,57
2015-10,55
2015-11,52
2015-12,52
2016-01,87
2016-02,87
2016-03,84
2016-04,78
2016-05,77
2016-06,89
2016-07,85
2016-08,75
2016-09,75
2016-10,71
2016-11,63
2016-12,64
2017-01,72
2017-02,74
2017-03,73
2017-04,72
2017-05,79
2017-06,86
2017-07,85
2017-08,75
2017-09,65
2017-10,63
2017-11,59
2017-12,58
2018-01,78
2018-02,74
2018-03,74
2018-04,78
2018-05,78
2018-06,80
2018-07,79
2018-08,74
2018-09,70
2018-10,64
2018-11,59
2018-12,60
2019-01,74
2019-02,78
2019-03,76
2019-04,73
2019-05,77
2019-06,84
2019-07,85
2019-08,74
2019-09,67
2019-10,67
2019-11,56
2019-12,60
2020-01,67
2020-02,72
2020-03,64
2020-04,63
2020-05,80
2020-06,95
2020-07,94
2020-08,82
2020-09,69
2020-10,65
2020-11,58
2020-12,59
2021-01,80
2021-02,76
2021-03,90
2021-04,85
2021-05,89
2021-06,92
2021-07,100
2021-08,88
2021-09,73
2021-10,77
2021-11,72
2021-12,69
2022-01,82
2022-02,80
2022-03,95
2022-04,92
2022-05,85
2022-06,85
2022-07,86
2022-08,75
2022-09,71
2022-10,65
2022-11,62
2022-12,60
2023-01,66
2023-02,63
2023-03,71
2023-04,68
2023-05,63
2023-06,72
2023-07,72
2023-08,68
2023-09,65
2023-10,60
2023-11,54
2023-12,55
2024-01,61
2024-02,59
2024-03,59
2024-04,60
2024-05,62
2024-06,72
2024-07,64
2024-08,61
2024-09,56
2024-10,54
2024-11,52
2024-12,56
2025-01,65
2025-02,61
2025-03,61
2025-04,59
2025-05,66
