Category: All categories

Month,rent: (New York)
2015-01,69
2015-02,66
2015-03,71
2015-04,74
2015-05,72
2015-06,77
2015-07,79
2015-08,77
2015-09,67
2015-10,60
2015-11,58
2015-12,54
2016-01,77
2016-02,75
2016-03,78
2016-04,77
2016-05,79
2016-06,79
2016-07,79
2016-08,79
2016-09,73
2016-10,68
2016-11,62
2016-12,66
2017-01,81
2017-02,78
2017-03,83
2017-04,87
2017-05,84
2017-06,78
2017-07,87
2017-08,82
2017-09,71
2017-10,72
2017-11,64
2017-12,64
2018-01,74
2018-02,74
2018-03,77
2018-04,78
2018-05,79
2018-06,78
2018-07,86
2018-08,87
2018-09,67
2018-10,69
2018-11,68
2018-12,65
2019-01,81
2019-02,77
2019-03,80
2019-04,78
2019-05,76
2019-06,85
2019-07,90
2019-08,85
2019-09,73
2019-10,68
2019-11,66
2019-12,63
2020-01,78
2020-02,71
2020-03,72
2020-04,66
2020-05,79
2020-06,89
2020-07,100
2020-08,88
2020-09,79
2020-10,73
2020-11,63
2020-12,68
2021-01,77
2021-02,74
2021-03,82
2021-04,83
2021-05,84
2021-06,85
2021-07,87
2021-08,82
2021-09,75
2021-10,76
2021-11,72
2021-12,69
2022-01,73
2022-02,82
2022-03,81
2022-04,78
2022-05,73
2022-06,78
2022-07,83
2022-08,83
2022-09,69
2022-10,68
2022-11,61
2022-12,63
2023-01,69
2023-02,69
2023-03,69
2023-04,76
2023-05,73
2023-06,76
2023-07,83
2023-08,77
2023-09,69
2023-10,65
2023-11,63
2023-12,64
2024-01,69
2024-02,62
2024-03,64
2024-04,65
2024-05,65
2024-06,67
2024-07,69
2024-08,67
2024-09,62
2024-10,58
2024-11,55
2024-12,56
2025-01,65
2025-02,63
2025-03,65
2025-04,63
2025-05,67
