Category: All categories

Month,rent: (Oklahoma)
2015-01,76
2015-02,74
2015-03,78
2015-04,76
2015-05,81
2015-06,83
2015-07,71
2015-08,63
2015-09,55
2015-10,56
2015-11,53
2015-12,51
2016-01,79
2016-02,78
2016-03,78
2016-04,81
2016-05,79
2016-06,86
2016-07,91
2016-08,72
2016-09,65
2016-10,64
2016-11,56
2016-12,52
2017-01,74
2017-02,76
2017-03,77
2017-04,74
2017-05,81
2017-06,89
2017-07,90
2017-08,74
2017-09,65
2017-10,67
2017-11,58
2017-12,56
2018-01,73
2018-02,75
2018-03,80
2018-04,76
2018-05,81
2018-06,88
2018-07,89
2018-08,77
2018-09,67
2018-10,67
2018-11,64
2018-12,60
2019-01,79
2019-02,76
2019-03,82
2019-04,79
2019-05,74
2019-06,90
2019-07,97
2019-08,80
2019-09,74
2019-10,65
2019-11,63
2019-12,60
2020-01,74
2020-02,77
2020-03,68
2020-04,72
2020-05,80
2020-06,92
2020-07,89
2020-08,83
2020-09,74
2020-10,74
2020-11,67
2020-12,69
2021-01,79
2021-02,79
2021-03,97
2021-04,93
2021-05,90
2021-06,100
2021-07,97
2021-08,94
2021-09,83
2021-10,78
2021-11,76
2021-12,74
2022-01,79
2022-02,87
2022-03,91
2022-04,82
2022-05,84
2022-06,86
2022-07,94
2022-08,76
2022-09,73
2022-10,67
2022-11,62
2022-12,63
2023-01,67
2023-02,73
2023-03,76
2023-04,77
2023-05,77
2023-06,80
2023-07,77
2023-08,71
2023-09,64
2023-10,62
2023-11,60
2023-12,57
2024-01,61
2024-02,63
2024-03,63
2024-04,65
2024-05,66
2024-06,71
2024-07,69
2024-08,65
2024-09,60
2024-10,52
2024-11,51
2024-12,51
2025-01,58
2025-02,59
2025-03,64
2025-04,65
2025-05,63
