Category: All categories

Month,rent: (Oregon)
2015-01,36
2015-02,35
2015-03,37
2015-04,38
2015-05,50
2015-06,66
2015-07,72
2015-08,70
2015-09,71
2015-10,57
2015-11,48
2015-12,50
2016-01,73
2016-02,74
2016-03,79
2016-04,79
2016-05,77
2016-06,81
2016-07,83
2016-08,79
2016-09,69
2016-10,65
2016-11,59
2016-12,60
2017-01,71
2017-02,73
2017-03,71
2017-04,77
2017-05,78
2017-06,80
2017-07,84
2017-08,78
2017-09,69
2017-10,83
2017-11,73
2017-12,77
2018-01,85
2018-02,83
2018-03,88
2018-04,91
2018-05,83
2018-06,86
2018-07,97
2018-08,79
2018-09,74
2018-10,64
2018-11,61
2018-12,62
2019-01,78
2019-02,76
2019-03,81
2019-04,78
2019-05,80
2019-06,80
2019-07,84
2019-08,80
2019-09,73
2019-10,66
2019-11,63
2019-12,61
2020-01,72
2020-02,72
2020-03,71
2020-04,66
2020-05,72
2020-06,85
2020-07,84
2020-08,85
2020-09,69
2020-10,73
2020-11,63
2020-12,71
2021-01,79
2021-02,81
2021-03,92
2021-04,94
2021-05,96
2021-06,100
2021-07,96
2021-08,89
2021-09,87
2021-10,76
2021-11,79
2021-12,67
2022-01,86
2022-02,87
2022-03,94
2022-04,86
2022-05,82
2022-06,88
2022-07,88
2022-08,82
2022-09,75
2022-10,70
2022-11,61
2022-12,62
2023-01,75
2023-02,71
2023-03,72
2023-04,71
2023-05,78
2023-06,77
2023-07,80
2023-08,72
2023-09,68
2023-10,62
2023-11,61
2023-12,59
2024-01,68
2024-02,61
2024-03,60
2024-04,66
2024-05,67
2024-06,66
2024-07,71
2024-08,72
2024-09,60
2024-10,54
2024-11,55
2024-12,52
2025-01,64
2025-02,63
2025-03,64
2025-04,64
2025-05,63
