Category: All categories

Month,rent: (Pennsylvania)
2015-01,59
2015-02,61
2015-03,63
2015-04,63
2015-05,62
2015-06,65
2015-07,70
2015-08,69
2015-09,54
2015-10,51
2015-11,49
2015-12,46
2016-01,66
2016-02,67
2016-03,71
2016-04,72
2016-05,74
2016-06,77
2016-07,79
2016-08,73
2016-09,64
2016-10,60
2016-11,61
2016-12,58
2017-01,73
2017-02,74
2017-03,74
2017-04,74
2017-05,76
2017-06,81
2017-07,83
2017-08,79
2017-09,63
2017-10,62
2017-11,58
2017-12,53
2018-01,69
2018-02,68
2018-03,71
2018-04,72
2018-05,72
2018-06,81
2018-07,86
2018-08,77
2018-09,65
2018-10,63
2018-11,58
2018-12,59
2019-01,78
2019-02,73
2019-03,75
2019-04,69
2019-05,73
2019-06,80
2019-07,83
2019-08,75
2019-09,66
2019-10,63
2019-11,57
2019-12,55
2020-01,68
2020-02,74
2020-03,62
2020-04,59
2020-05,74
2020-06,87
2020-07,95
2020-08,86
2020-09,71
2020-10,69
2020-11,59
2020-12,60
2021-01,69
2021-02,72
2021-03,85
2021-04,82
2021-05,80
2021-06,92
2021-07,100
2021-08,85
2021-09,76
2021-10,72
2021-11,68
2021-12,60
2022-01,72
2022-02,80
2022-03,76
2022-04,74
2022-05,71
2022-06,78
2022-07,83
2022-08,77
2022-09,67
2022-10,59
2022-11,56
2022-12,50
2023-01,64
2023-02,63
2023-03,63
2023-04,66
2023-05,67
2023-06,67
2023-07,73
2023-08,69
2023-09,58
2023-10,53
2023-11,50
2023-12,48
2024-01,55
2024-02,57
2024-03,54
2024-04,54
2024-05,60
2024-06,62
2024-07,62
2024-08,58
2024-09,50
2024-10,48
2024-11,47
2024-12,45
2025-01,56
2025-02,53
2025-03,58
2025-04,57
2025-05,61
