Category: All categories

Month,rent: (Puerto Rico)
2015-01,39
2015-02,38
2015-03,39
2015-04,43
2015-05,44
2015-06,49
2015-07,49
2015-08,40
2015-09,34
2015-10,37
2015-11,36
2015-12,40
2016-01,44
2016-02,41
2016-03,43
2016-04,43
2016-05,45
2016-06,52
2016-07,51
2016-08,40
2016-09,37
2016-10,36
2016-11,35
2016-12,39
2017-01,45
2017-02,40
2017-03,42
2017-04,40
2017-05,43
2017-06,51
2017-07,54
2017-08,39
2017-09,31
2017-10,100
2017-11,60
2017-12,54
2018-01,47
2018-02,43
2018-03,46
2018-04,40
2018-05,44
2018-06,47
2018-07,51
2018-08,42
2018-09,34
2018-10,38
2018-11,39
2018-12,41
2019-01,45
2019-02,39
2019-03,42
2019-04,40
2019-05,43
2019-06,46
2019-07,46
2019-08,41
2019-09,36
2019-10,39
2019-11,39
2019-12,40
2020-01,41
2020-02,45
2020-03,30
2020-04,23
2020-05,33
2020-06,41
2020-07,38
2020-08,35
2020-09,35
2020-10,38
2020-11,38
2020-12,38
2021-01,39
2021-02,39
2021-03,47
2021-04,45
2021-05,51
2021-06,54
2021-07,50
2021-08,43
2021-09,38
2021-10,40
2021-11,40
2021-12,40
2022-01,43
2022-02,43
2022-03,42
2022-04,41
2022-05,39
2022-06,44
2022-07,42
2022-08,41
2022-09,36
2022-10,39
2022-11,37
2022-12,41
2023-01,40
2023-02,38
2023-03,38
2023-04,36
2023-05,40
2023-06,40
2023-07,44
2023-08,42
2023-09,36
2023-10,39
2023-11,37
2023-12,43
2024-01,41
2024-02,36
2024-03,36
2024-04,37
2024-05,41
2024-06,43
2024-07,39
2024-08,41
2024-09,36
2024-10,34
2024-11,38
2024-12,40
2025-01,40
2025-02,36
2025-03,39
2025-04,35
2025-05,35
