Category: All categories

Month,rent: (Rhode Island)
2015-01,51
2015-02,51
2015-03,62
2015-04,62
2015-05,66
2015-06,64
2015-07,65
2015-08,69
2015-09,59
2015-10,48
2015-11,48
2015-12,45
2016-01,65
2016-02,67
2016-03,69
2016-04,74
2016-05,72
2016-06,73
2016-07,76
2016-08,75
2016-09,60
2016-10,56
2016-11,53
2016-12,47
2017-01,60
2017-02,62
2017-03,66
2017-04,71
2017-05,67
2017-06,70
2017-07,74
2017-08,69
2017-09,59
2017-10,57
2017-11,52
2017-12,49
2018-01,66
2018-02,65
2018-03,70
2018-04,68
2018-05,68
2018-06,75
2018-07,72
2018-08,75
2018-09,65
2018-10,58
2018-11,56
2018-12,55
2019-01,72
2019-02,63
2019-03,68
2019-04,69
2019-05,73
2019-06,77
2019-07,73
2019-08,76
2019-09,66
2019-10,56
2019-11,55
2019-12,51
2020-01,67
2020-02,65
2020-03,54
2020-04,51
2020-05,64
2020-06,73
2020-07,78
2020-08,73
2020-09,66
2020-10,67
2020-11,68
2020-12,56
2021-01,70
2021-02,71
2021-03,73
2021-04,78
2021-05,78
2021-06,92
2021-07,88
2021-08,85
2021-09,82
2021-10,79
2021-11,81
2021-12,70
2022-01,82
2022-02,89
2022-03,100
2022-04,89
2022-05,90
2022-06,77
2022-07,81
2022-08,84
2022-09,61
2022-10,56
2022-11,52
2022-12,48
2023-01,59
2023-02,61
2023-03,62
2023-04,66
2023-05,69
2023-06,67
2023-07,75
2023-08,69
2023-09,58
2023-10,53
2023-11,50
2023-12,47
2024-01,56
2024-02,55
2024-03,53
2024-04,56
2024-05,56
2024-06,60
2024-07,58
2024-08,58
2024-09,49
2024-10,46
2024-11,45
2024-12,46
2025-01,53
2025-02,51
2025-03,53
2025-04,56
2025-05,53
