Category: All categories

Month,rent: (South Carolina)
2015-01,67
2015-02,68
2015-03,73
2015-04,72
2015-05,76
2015-06,85
2015-07,100
2015-08,92
2015-09,75
2015-10,61
2015-11,56
2015-12,50
2016-01,79
2016-02,82
2016-03,79
2016-04,83
2016-05,86
2016-06,86
2016-07,86
2016-08,76
2016-09,67
2016-10,65
2016-11,60
2016-12,61
2017-01,78
2017-02,79
2017-03,77
2017-04,75
2017-05,78
2017-06,88
2017-07,83
2017-08,74
2017-09,66
2017-10,66
2017-11,60
2017-12,59
2018-01,73
2018-02,74
2018-03,76
2018-04,74
2018-05,76
2018-06,86
2018-07,83
2018-08,76
2018-09,66
2018-10,65
2018-11,59
2018-12,60
2019-01,80
2019-02,75
2019-03,79
2019-04,79
2019-05,80
2019-06,90
2019-07,84
2019-08,73
2019-09,67
2019-10,61
2019-11,57
2019-12,57
2020-01,72
2020-02,73
2020-03,65
2020-04,66
2020-05,78
2020-06,81
2020-07,78
2020-08,76
2020-09,67
2020-10,71
2020-11,59
2020-12,57
2021-01,73
2021-02,71
2021-03,82
2021-04,86
2021-05,82
2021-06,83
2021-07,83
2021-08,77
2021-09,75
2021-10,75
2021-11,72
2021-12,68
2022-01,73
2022-02,77
2022-03,82
2022-04,79
2022-05,80
2022-06,81
2022-07,75
2022-08,73
2022-09,67
2022-10,59
2022-11,56
2022-12,53
2023-01,67
2023-02,64
2023-03,63
2023-04,66
2023-05,66
2023-06,70
2023-07,72
2023-08,63
2023-09,57
2023-10,54
2023-11,52
2023-12,51
2024-01,55
2024-02,57
2024-03,55
2024-04,57
2024-05,60
2024-06,61
2024-07,59
2024-08,56
2024-09,50
2024-10,51
2024-11,47
2024-12,48
2025-01,54
2025-02,54
2025-03,57
2025-04,55
2025-05,54
