Category: All categories

Month,rent: (South Dakota)
2015-01,90
2015-02,90
2015-03,92
2015-04,82
2015-05,79
2015-06,94
2015-07,89
2015-08,81
2015-09,68
2015-10,66
2015-11,68
2015-12,66
2016-01,89
2016-02,87
2016-03,86
2016-04,97
2016-05,97
2016-06,93
2016-07,97
2016-08,91
2016-09,79
2016-10,66
2016-11,72
2016-12,66
2017-01,87
2017-02,89
2017-03,92
2017-04,91
2017-05,83
2017-06,98
2017-07,97
2017-08,84
2017-09,71
2017-10,69
2017-11,70
2017-12,65
2018-01,79
2018-02,81
2018-03,82
2018-04,90
2018-05,77
2018-06,90
2018-07,96
2018-08,81
2018-09,69
2018-10,67
2018-11,64
2018-12,67
2019-01,84
2019-02,86
2019-03,88
2019-04,91
2019-05,88
2019-06,94
2019-07,90
2019-08,82
2019-09,67
2019-10,65
2019-11,60
2019-12,59
2020-01,81
2020-02,82
2020-03,70
2020-04,71
2020-05,85
2020-06,90
2020-07,93
2020-08,82
2020-09,73
2020-10,72
2020-11,63
2020-12,64
2021-01,79
2021-02,90
2021-03,95
2021-04,94
2021-05,94
2021-06,100
2021-07,97
2021-08,89
2021-09,82
2021-10,72
2021-11,72
2021-12,69
2022-01,90
2022-02,91
2022-03,96
2022-04,90
2022-05,90
2022-06,85
2022-07,93
2022-08,84
2022-09,82
2022-10,69
2022-11,59
2022-12,60
2023-01,72
2023-02,76
2023-03,77
2023-04,81
2023-05,81
2023-06,88
2023-07,87
2023-08,79
2023-09,70
2023-10,64
2023-11,59
2023-12,65
2024-01,71
2024-02,66
2024-03,69
2024-04,71
2024-05,73
2024-06,72
2024-07,76
2024-08,69
2024-09,61
2024-10,60
2024-11,54
2024-12,56
2025-01,67
2025-02,67
2025-03,76
2025-04,70
2025-05,73
