Category: All categories

Month,rent: (Tennessee)
2015-01,73
2015-02,71
2015-03,76
2015-04,77
2015-05,83
2015-06,83
2015-07,82
2015-08,72
2015-09,69
2015-10,69
2015-11,65
2015-12,66
2016-01,87
2016-02,90
2016-03,91
2016-04,93
2016-05,94
2016-06,94
2016-07,91
2016-08,86
2016-09,78
2016-10,77
2016-11,66
2016-12,68
2017-01,85
2017-02,83
2017-03,88
2017-04,85
2017-05,94
2017-06,97
2017-07,95
2017-08,83
2017-09,77
2017-10,77
2017-11,72
2017-12,61
2018-01,85
2018-02,85
2018-03,84
2018-04,93
2018-05,92
2018-06,98
2018-07,90
2018-08,89
2018-09,76
2018-10,74
2018-11,68
2018-12,68
2019-01,91
2019-02,87
2019-03,90
2019-04,84
2019-05,90
2019-06,93
2019-07,91
2019-08,84
2019-09,77
2019-10,73
2019-11,65
2019-12,66
2020-01,80
2020-02,83
2020-03,77
2020-04,76
2020-05,93
2020-06,99
2020-07,89
2020-08,82
2020-09,82
2020-10,80
2020-11,70
2020-12,69
2021-01,86
2021-02,82
2021-03,97
2021-04,96
2021-05,94
2021-06,100
2021-07,95
2021-08,94
2021-09,91
2021-10,79
2021-11,80
2021-12,74
2022-01,81
2022-02,89
2022-03,96
2022-04,88
2022-05,92
2022-06,91
2022-07,90
2022-08,82
2022-09,81
2022-10,69
2022-11,63
2022-12,64
2023-01,75
2023-02,75
2023-03,79
2023-04,75
2023-05,83
2023-06,81
2023-07,78
2023-08,73
2023-09,68
2023-10,65
2023-11,61
2023-12,57
2024-01,64
2024-02,66
2024-03,67
2024-04,69
2024-05,69
2024-06,74
2024-07,69
2024-08,65
2024-09,59
2024-10,57
2024-11,53
2024-12,52
2025-01,66
2025-02,64
2025-03,63
2025-04,66
2025-05,67
