Category: All categories

Month,rent: (U.S. Virgin Islands)
2015-01,40
2015-02,50
2015-03,58
2015-04,49
2015-05,72
2015-06,37
2015-07,48
2015-08,62
2015-09,38
2015-10,73
2015-11,57
2015-12,51
2016-01,56
2016-02,65
2016-03,49
2016-04,56
2016-05,59
2016-06,62
2016-07,74
2016-08,44
2016-09,57
2016-10,59
2016-11,53
2016-12,57
2017-01,54
2017-02,57
2017-03,50
2017-04,59
2017-05,62
2017-06,46
2017-07,100
2017-08,68
2017-09,44
2017-10,75
2017-11,90
2017-12,59
2018-01,65
2018-02,61
2018-03,54
2018-04,61
2018-05,52
2018-06,68
2018-07,77
2018-08,69
2018-09,61
2018-10,57
2018-11,69
2018-12,48
2019-01,59
2019-02,63
2019-03,49
2019-04,52
2019-05,67
2019-06,64
2019-07,66
2019-08,60
2019-09,55
2019-10,58
2019-11,62
2019-12,57
2020-01,64
2020-02,45
2020-03,49
2020-04,42
2020-05,58
2020-06,61
2020-07,51
2020-08,67
2020-09,56
2020-10,56
2020-11,53
2020-12,49
2021-01,44
2021-02,54
2021-03,56
2021-04,50
2021-05,69
2021-06,65
2021-07,68
2021-08,66
2021-09,73
2021-10,73
2021-11,52
2021-12,60
2022-01,56
2022-02,62
2022-03,65
2022-04,49
2022-05,52
2022-06,60
2022-07,54
2022-08,58
2022-09,48
2022-10,55
2022-11,48
2022-12,43
2023-01,47
2023-02,38
2023-03,48
2023-04,41
2023-05,59
2023-06,53
2023-07,49
2023-08,37
2023-09,53
2023-10,40
2023-11,47
2023-12,42
2024-01,32
2024-02,47
2024-03,52
2024-04,47
2024-05,42
2024-06,61
2024-07,49
2024-08,49
2024-09,44
2024-10,44
2024-11,50
2024-12,45
2025-01,55
2025-02,45
2025-03,57
2025-04,42
2025-05,49
