Category: All categories

Month,rent: (Vermont)
2015-01,63
2015-02,63
2015-03,75
2015-04,75
2015-05,75
2015-06,75
2015-07,75
2015-08,72
2015-09,52
2015-10,48
2015-11,45
2015-12,43
2016-01,69
2016-02,69
2016-03,65
2016-04,73
2016-05,69
2016-06,71
2016-07,75
2016-08,78
2016-09,62
2016-10,57
2016-11,52
2016-12,52
2017-01,71
2017-02,66
2017-03,76
2017-04,73
2017-05,73
2017-06,71
2017-07,75
2017-08,73
2017-09,63
2017-10,62
2017-11,51
2017-12,50
2018-01,69
2018-02,68
2018-03,73
2018-04,78
2018-05,77
2018-06,77
2018-07,86
2018-08,86
2018-09,73
2018-10,58
2018-11,52
2018-12,60
2019-01,76
2019-02,75
2019-03,75
2019-04,78
2019-05,81
2019-06,87
2019-07,83
2019-08,78
2019-09,69
2019-10,63
2019-11,53
2019-12,59
2020-01,72
2020-02,73
2020-03,60
2020-04,60
2020-05,74
2020-06,84
2020-07,88
2020-08,87
2020-09,73
2020-10,66
2020-11,60
2020-12,60
2021-01,70
2021-02,82
2021-03,92
2021-04,98
2021-05,99
2021-06,100
2021-07,94
2021-08,95
2021-09,81
2021-10,75
2021-11,70
2021-12,63
2022-01,77
2022-02,86
2022-03,98
2022-04,88
2022-05,82
2022-06,87
2022-07,81
2022-08,84
2022-09,74
2022-10,65
2022-11,58
2022-12,56
2023-01,72
2023-02,65
2023-03,73
2023-04,76
2023-05,74
2023-06,79
2023-07,79
2023-08,77
2023-09,70
2023-10,60
2023-11,56
2023-12,54
2024-01,67
2024-02,64
2024-03,65
2024-04,71
2024-05,67
2024-06,68
2024-07,70
2024-08,68
2024-09,62
2024-10,56
2024-11,56
2024-12,54
2025-01,60
2025-02,60
2025-03,66
2025-04,65
2025-05,67
