Category: All categories

Month,rent: (Washington)
2015-01,70
2015-02,73
2015-03,79
2015-04,75
2015-05,80
2015-06,80
2015-07,82
2015-08,78
2015-09,69
2015-10,64
2015-11,58
2015-12,56
2016-01,81
2016-02,86
2016-03,90
2016-04,93
2016-05,92
2016-06,95
2016-07,89
2016-08,86
2016-09,77
2016-10,68
2016-11,66
2016-12,62
2017-01,81
2017-02,78
2017-03,82
2017-04,85
2017-05,86
2017-06,91
2017-07,91
2017-08,85
2017-09,76
2017-10,72
2017-11,67
2017-12,61
2018-01,75
2018-02,80
2018-03,83
2018-04,87
2018-05,87
2018-06,89
2018-07,88
2018-08,82
2018-09,75
2018-10,69
2018-11,64
2018-12,64
2019-01,83
2019-02,75
2019-03,83
2019-04,84
2019-05,90
2019-06,87
2019-07,91
2019-08,84
2019-09,72
2019-10,70
2019-11,65
2019-12,63
2020-01,78
2020-02,78
2020-03,70
2020-04,66
2020-05,77
2020-06,85
2020-07,90
2020-08,88
2020-09,73
2020-10,72
2020-11,62
2020-12,65
2021-01,77
2021-02,79
2021-03,95
2021-04,89
2021-05,90
2021-06,95
2021-07,100
2021-08,90
2021-09,83
2021-10,72
2021-11,76
2021-12,70
2022-01,82
2022-02,87
2022-03,87
2022-04,82
2022-05,84
2022-06,82
2022-07,87
2022-08,82
2022-09,69
2022-10,63
2022-11,59
2022-12,60
2023-01,72
2023-02,70
2023-03,74
2023-04,72
2023-05,72
2023-06,80
2023-07,80
2023-08,75
2023-09,64
2023-10,57
2023-11,60
2023-12,58
2024-01,66
2024-02,65
2024-03,64
2024-04,67
2024-05,64
2024-06,66
2024-07,68
2024-08,68
2024-09,58
2024-10,54
2024-11,48
2024-12,53
2025-01,64
2025-02,60
2025-03,61
2025-04,67
2025-05,68
