Category: All categories

Month,rent: (Wisconsin)
2015-01,68
2015-02,71
2015-03,71
2015-04,73
2015-05,72
2015-06,77
2015-07,75
2015-08,69
2015-09,61
2015-10,54
2015-11,47
2015-12,46
2016-01,69
2016-02,75
2016-03,77
2016-04,80
2016-05,82
2016-06,84
2016-07,81
2016-08,76
2016-09,63
2016-10,60
2016-11,55
2016-12,52
2017-01,73
2017-02,80
2017-03,78
2017-04,80
2017-05,79
2017-06,82
2017-07,84
2017-08,79
2017-09,66
2017-10,65
2017-11,54
2017-12,55
2018-01,75
2018-02,73
2018-03,78
2018-04,80
2018-05,79
2018-06,83
2018-07,85
2018-08,78
2018-09,67
2018-10,60
2018-11,53
2018-12,58
2019-01,82
2019-02,80
2019-03,83
2019-04,85
2019-05,80
2019-06,83
2019-07,87
2019-08,80
2019-09,68
2019-10,65
2019-11,54
2019-12,56
2020-01,72
2020-02,76
2020-03,66
2020-04,63
2020-05,77
2020-06,95
2020-07,91
2020-08,85
2020-09,69
2020-10,68
2020-11,58
2020-12,61
2021-01,77
2021-02,84
2021-03,93
2021-04,93
2021-05,95
2021-06,93
2021-07,93
2021-08,91
2021-09,79
2021-10,75
2021-11,69
2021-12,65
2022-01,84
2022-02,86
2022-03,100
2022-04,87
2022-05,86
2022-06,83
2022-07,80
2022-08,86
2022-09,71
2022-10,64
2022-11,57
2022-12,57
2023-01,73
2023-02,73
2023-03,78
2023-04,76
2023-05,76
2023-06,79
2023-07,79
2023-08,76
2023-09,64
2023-10,61
2023-11,55
2023-12,54
2024-01,62
2024-02,67
2024-03,66
2024-04,67
2024-05,63
2024-06,63
2024-07,67
2024-08,64
2024-09,58
2024-10,54
2024-11,49
2024-12,50
2025-01,63
2025-02,62
2025-03,67
2025-04,68
2025-05,68
