Category: All categories

Month,rent: (West Virginia)
2015-01,74
2015-02,70
2015-03,77
2015-04,75
2015-05,77
2015-06,87
2015-07,88
2015-08,82
2015-09,67
2015-10,61
2015-11,62
2015-12,57
2016-01,86
2016-02,88
2016-03,84
2016-04,89
2016-05,90
2016-06,100
2016-07,96
2016-08,88
2016-09,76
2016-10,70
2016-11,66
2016-12,67
2017-01,86
2017-02,83
2017-03,85
2017-04,82
2017-05,90
2017-06,97
2017-07,100
2017-08,84
2017-09,75
2017-10,82
2017-11,67
2017-12,67
2018-01,78
2018-02,91
2018-03,80
2018-04,82
2018-05,84
2018-06,90
2018-07,99
2018-08,91
2018-09,81
2018-10,80
2018-11,72
2018-12,71
2019-01,81
2019-02,87
2019-03,87
2019-04,83
2019-05,93
2019-06,99
2019-07,97
2019-08,85
2019-09,75
2019-10,72
2019-11,70
2019-12,67
2020-01,80
2020-02,80
2020-03,70
2020-04,70
2020-05,90
2020-06,94
2020-07,92
2020-08,81
2020-09,74
2020-10,73
2020-11,67
2020-12,65
2021-01,87
2021-02,76
2021-03,94
2021-04,86
2021-05,86
2021-06,94
2021-07,96
2021-08,82
2021-09,77
2021-10,77
2021-11,81
2021-12,76
2022-01,80
2022-02,76
2022-03,81
2022-04,77
2022-05,83
2022-06,85
2022-07,83
2022-08,84
2022-09,71
2022-10,66
2022-11,65
2022-12,63
2023-01,71
2023-02,74
2023-03,73
2023-04,76
2023-05,72
2023-06,87
2023-07,78
2023-08,79
2023-09,66
2023-10,67
2023-11,67
2023-12,64
2024-01,67
2024-02,67
2024-03,68
2024-04,72
2024-05,70
2024-06,77
2024-07,73
2024-08,69
2024-09,62
2024-10,58
2024-11,58
2024-12,58
2025-01,66
2025-02,78
2025-03,69
2025-04,75
2025-05,72
