Category: All categories

Month,rent: (Colorado)
2015-01,82
2015-02,78
2015-03,88
2015-04,85
2015-05,89
2015-06,88
2015-07,89
2015-08,79
2015-09,73
2015-10,64
2015-11,60
2015-12,62
2016-01,83
2016-02,82
2016-03,91
2016-04,96
2016-05,95
2016-06,90
2016-07,95
2016-08,80
2016-09,74
2016-10,69
2016-11,64
2016-12,64
2017-01,77
2017-02,84
2017-03,88
2017-04,93
2017-05,90
2017-06,95
2017-07,95
2017-08,82
2017-09,75
2017-10,70
2017-11,72
2017-12,62
2018-01,77
2018-02,79
2018-03,85
2018-04,89
2018-05,86
2018-06,95
2018-07,91
2018-08,84
2018-09,74
2018-10,69
2018-11,67
2018-12,63
2019-01,85
2019-02,80
2019-03,84
2019-04,87
2019-05,88
2019-06,94
2019-07,90
2019-08,84
2019-09,75
2019-10,65
2019-11,66
2019-12,62
2020-01,83
2020-02,79
2020-03,75
2020-04,72
2020-05,83
2020-06,97
2020-07,97
2020-08,79
2020-09,73
2020-10,70
2020-11,62
2020-12,69
2021-01,84
2021-02,83
2021-03,89
2021-04,97
2021-05,98
2021-06,100
2021-07,97
2021-08,91
2021-09,82
2021-10,78
2021-11,77
2021-12,70
2022-01,84
2022-02,85
2022-03,92
2022-04,86
2022-05,84
2022-06,87
2022-07,93
2022-08,85
2022-09,70
2022-10,72
2022-11,62
2022-12,61
2023-01,72
2023-02,77
2023-03,79
2023-04,76
2023-05,82
2023-06,85
2023-07,80
2023-08,75
2023-09,66
2023-10,62
2023-11,61
2023-12,61
2024-01,69
2024-02,66
2024-03,69
2024-04,73
2024-05,73
2024-06,77
2024-07,72
2024-08,67
2024-09,62
2024-10,59
2024-11,55
2024-12,55
2025-01,62
2025-02,66
2025-03,69
2025-04,68
2025-05,71
