Category: All categories

Month,rent: (Kansas)
2015-01,63
2015-02,62
2015-03,62
2015-04,63
2015-05,63
2015-06,71
2015-07,71
2015-08,63
2015-09,52
2015-10,43
2015-11,34
2015-12,19
2016-01,65
2016-02,72
2016-03,64
2016-04,69
2016-05,87
2016-06,91
2016-07,93
2016-08,73
2016-09,67
2016-10,57
2016-11,49
2016-12,65
2017-01,92
2017-02,85
2017-03,91
2017-04,88
2017-05,90
2017-06,98
2017-07,100
2017-08,70
2017-09,59
2017-10,65
2017-11,55
2017-12,54
2018-01,68
2018-02,70
2018-03,74
2018-04,78
2018-05,78
2018-06,84
2018-07,86
2018-08,75
2018-09,63
2018-10,58
2018-11,55
2018-12,55
2019-01,75
2019-02,72
2019-03,80
2019-04,80
2019-05,80
2019-06,86
2019-07,87
2019-08,74
2019-09,67
2019-10,55
2019-11,59
2019-12,55
2020-01,66
2020-02,75
2020-03,64
2020-04,71
2020-05,80
2020-06,91
2020-07,90
2020-08,79
2020-09,68
2020-10,61
2020-11,57
2020-12,54
2021-01,74
2021-02,74
2021-03,89
2021-04,91
2021-05,88
2021-06,90
2021-07,88
2021-08,81
2021-09,73
2021-10,66
2021-11,64
2021-12,60
2022-01,75
2022-02,84
2022-03,85
2022-04,80
2022-05,83
2022-06,85
2022-07,84
2022-08,77
2022-09,69
2022-10,61
2022-11,55
2022-12,53
2023-01,67
2023-02,63
2023-03,78
2023-04,75
2023-05,77
2023-06,76
2023-07,75
2023-08,69
2023-09,58
2023-10,55
2023-11,52
2023-12,54
2024-01,59
2024-02,59
2024-03,59
2024-04,62
2024-05,64
2024-06,65
2024-07,65
2024-08,61
2024-09,53
2024-10,56
2024-11,50
2024-12,51
2025-01,54
2025-02,56
2025-03,59
2025-04,61
2025-05,66
