Category: All categories

Month,rent: (Maine)
2015-01,68
2015-02,67
2015-03,73
2015-04,75
2015-05,77
2015-06,72
2015-07,83
2015-08,81
2015-09,73
2015-10,64
2015-11,56
2015-12,50
2016-01,71
2016-02,77
2016-03,80
2016-04,85
2016-05,80
2016-06,81
2016-07,88
2016-08,83
2016-09,70
2016-10,64
2016-11,61
2016-12,57
2017-01,76
2017-02,76
2017-03,77
2017-04,81
2017-05,79
2017-06,81
2017-07,87
2017-08,88
2017-09,69
2017-10,67
2017-11,61
2017-12,56
2018-01,72
2018-02,76
2018-03,87
2018-04,81
2018-05,78
2018-06,88
2018-07,95
2018-08,83
2018-09,72
2018-10,64
2018-11,63
2018-12,63
2019-01,80
2019-02,81
2019-03,89
2019-04,88
2019-05,96
2019-06,86
2019-07,85
2019-08,81
2019-09,77
2019-10,69
2019-11,65
2019-12,60
2020-01,73
2020-02,75
2020-03,68
2020-04,75
2020-05,75
2020-06,87
2020-07,88
2020-08,84
2020-09,82
2020-10,74
2020-11,67
2020-12,70
2021-01,82
2021-02,92
2021-03,100
2021-04,100
2021-05,91
2021-06,88
2021-07,88
2021-08,87
2021-09,84
2021-10,77
2021-11,74
2021-12,68
2022-01,76
2022-02,86
2022-03,85
2022-04,84
2022-05,91
2022-06,81
2022-07,78
2022-08,81
2022-09,73
2022-10,67
2022-11,62
2022-12,55
2023-01,68
2023-02,73
2023-03,77
2023-04,73
2023-05,73
2023-06,75
2023-07,75
2023-08,71
2023-09,64
2023-10,58
2023-11,59
2023-12,54
2024-01,64
2024-02,66
2024-03,64
2024-04,67
2024-05,67
2024-06,67
2024-07,64
2024-08,65
2024-09,61
2024-10,56
2024-11,49
2024-12,51
2025-01,63
2025-02,62
2025-03,66
2025-04,65
2025-05,65
