Category: All categories

Month,rent: (Michigan)
2015-01,74
2015-02,79
2015-03,82
2015-04,84
2015-05,85
2015-06,96
2015-07,96
2015-08,92
2015-09,80
2015-10,75
2015-11,66
2015-12,65
2016-01,87
2016-02,88
2016-03,93
2016-04,94
2016-05,95
2016-06,95
2016-07,100
2016-08,95
2016-09,84
2016-10,72
2016-11,64
2016-12,64
2017-01,87
2017-02,87
2017-03,83
2017-04,88
2017-05,87
2017-06,91
2017-07,97
2017-08,91
2017-09,77
2017-10,70
2017-11,66
2017-12,60
2018-01,80
2018-02,82
2018-03,84
2018-04,87
2018-05,86
2018-06,92
2018-07,94
2018-08,93
2018-09,80
2018-10,73
2018-11,65
2018-12,68
2019-01,89
2019-02,81
2019-03,83
2019-04,83
2019-05,81
2019-06,90
2019-07,93
2019-08,87
2019-09,77
2019-10,72
2019-11,62
2019-12,62
2020-01,76
2020-02,79
2020-03,69
2020-04,63
2020-05,80
2020-06,97
2020-07,97
2020-08,92
2020-09,75
2020-10,75
2020-11,64
2020-12,65
2021-01,79
2021-02,82
2021-03,90
2021-04,90
2021-05,89
2021-06,97
2021-07,91
2021-08,90
2021-09,82
2021-10,76
2021-11,70
2021-12,66
2022-01,77
2022-02,77
2022-03,86
2022-04,83
2022-05,77
2022-06,79
2022-07,86
2022-08,79
2022-09,69
2022-10,66
2022-11,59
2022-12,56
2023-01,66
2023-02,66
2023-03,70
2023-04,70
2023-05,70
2023-06,75
2023-07,74
2023-08,69
2023-09,63
2023-10,58
2023-11,53
2023-12,52
2024-01,58
2024-02,61
2024-03,61
2024-04,65
2024-05,61
2024-06,65
2024-07,67
2024-08,62
2024-09,57
2024-10,52
2024-11,51
2024-12,47
2025-01,60
2025-02,56
2025-03,63
2025-04,60
2025-05,64
