Category: All categories

Month,rent: (North Carolina)
2015-01,72
2015-02,67
2015-03,72
2015-04,75
2015-05,82
2015-06,84
2015-07,84
2015-08,80
2015-09,66
2015-10,63
2015-11,61
2015-12,63
2016-01,85
2016-02,84
2016-03,87
2016-04,86
2016-05,96
2016-06,99
2016-07,97
2016-08,87
2016-09,76
2016-10,72
2016-11,68
2016-12,67
2017-01,85
2017-02,90
2017-03,82
2017-04,86
2017-05,89
2017-06,95
2017-07,95
2017-08,85
2017-09,74
2017-10,72
2017-11,70
2017-12,65
2018-01,80
2018-02,88
2018-03,84
2018-04,84
2018-05,83
2018-06,90
2018-07,92
2018-08,85
2018-09,72
2018-10,76
2018-11,70
2018-12,69
2019-01,86
2019-02,83
2019-03,86
2019-04,85
2019-05,84
2019-06,95
2019-07,94
2019-08,84
2019-09,73
2019-10,71
2019-11,64
2019-12,66
2020-01,81
2020-02,76
2020-03,71
2020-04,72
2020-05,84
2020-06,95
2020-07,92
2020-08,83
2020-09,74
2020-10,82
2020-11,72
2020-12,68
2021-01,77
2021-02,88
2021-03,92
2021-04,94
2021-05,96
2021-06,100
2021-07,96
2021-08,90
2021-09,81
2021-10,86
2021-11,77
2021-12,72
2022-01,85
2022-02,90
2022-03,90
2022-04,87
2022-05,84
2022-06,85
2022-07,85
2022-08,80
2022-09,70
2022-10,68
2022-11,61
2022-12,59
2023-01,74
2023-02,72
2023-03,71
2023-04,74
2023-05,75
2023-06,74
2023-07,78
2023-08,70
2023-09,63
2023-10,60
2023-11,58
2023-12,55
2024-01,62
2024-02,62
2024-03,62
2024-04,65
2024-05,64
2024-06,71
2024-07,66
2024-08,63
2024-09,55
2024-10,55
2024-11,55
2024-12,52
2025-01,60
2025-02,62
2025-03,65
2025-04,64
2025-05,62
