Category: All categories

Month,rent: (North Dakota)
2015-01,81
2015-02,82
2015-03,81
2015-04,84
2015-05,77
2015-06,79
2015-07,76
2015-08,74
2015-09,62
2015-10,58
2015-11,54
2015-12,54
2016-01,74
2016-02,75
2016-03,79
2016-04,82
2016-05,80
2016-06,88
2016-07,85
2016-08,77
2016-09,67
2016-10,65
2016-11,60
2016-12,59
2017-01,79
2017-02,78
2017-03,80
2017-04,79
2017-05,88
2017-06,83
2017-07,81
2017-08,78
2017-09,63
2017-10,61
2017-11,58
2017-12,58
2018-01,79
2018-02,75
2018-03,79
2018-04,82
2018-05,80
2018-06,88
2018-07,86
2018-08,81
2018-09,72
2018-10,64
2018-11,61
2018-12,63
2019-01,82
2019-02,77
2019-03,85
2019-04,89
2019-05,81
2019-06,95
2019-07,93
2019-08,84
2019-09,67
2019-10,62
2019-11,56
2019-12,59
2020-01,72
2020-02,74
2020-03,66
2020-04,65
2020-05,83
2020-06,91
2020-07,89
2020-08,83
2020-09,73
2020-10,65
2020-11,61
2020-12,63
2021-01,76
2021-02,77
2021-03,85
2021-04,88
2021-05,89
2021-06,94
2021-07,93
2021-08,84
2021-09,76
2021-10,70
2021-11,68
2021-12,67
2022-01,86
2022-02,88
2022-03,95
2022-04,93
2022-05,93
2022-06,99
2022-07,100
2022-08,93
2022-09,83
2022-10,78
2022-11,71
2022-12,71
2023-01,92
2023-02,84
2023-03,89
2023-04,86
2023-05,93
2023-06,96
2023-07,96
2023-08,85
2023-09,74
2023-10,64
2023-11,63
2023-12,59
2024-01,73
2024-02,69
2024-03,70
2024-04,71
2024-05,75
2024-06,70
2024-07,75
2024-08,73
2024-09,64
2024-10,60
2024-11,53
2024-12,58
2025-01,67
2025-02,71
2025-03,72
2025-04,70
2025-05,74
