Category: All categories

Month,rent: (Rhode Island)
2015-01,54
2015-02,53
2015-03,64
2015-04,65
2015-05,69
2015-06,67
2015-07,68
2015-08,73
2015-09,62
2015-10,51
2015-11,50
2015-12,47
2016-01,67
2016-02,71
2016-03,73
2016-04,77
2016-05,76
2016-06,77
2016-07,79
2016-08,78
2016-09,62
2016-10,59
2016-11,56
2016-12,49
2017-01,63
2017-02,67
2017-03,67
2017-04,71
2017-05,69
2017-06,75
2017-07,79
2017-08,72
2017-09,61
2017-10,60
2017-11,54
2017-12,52
2018-01,69
2018-02,69
2018-03,71
2018-04,71
2018-05,74
2018-06,80
2018-07,80
2018-08,79
2018-09,69
2018-10,61
2018-11,58
2018-12,58
2019-01,75
2019-02,68
2019-03,70
2019-04,69
2019-05,74
2019-06,79
2019-07,78
2019-08,77
2019-09,67
2019-10,59
2019-11,59
2019-12,53
2020-01,68
2020-02,70
2020-03,59
2020-04,54
2020-05,68
2020-06,76
2020-07,82
2020-08,70
2020-09,68
2020-10,69
2020-11,61
2020-12,58
2021-01,75
2021-02,74
2021-03,79
2021-04,85
2021-05,83
2021-06,98
2021-07,93
2021-08,89
2021-09,89
2021-10,83
2021-11,82
2021-12,75
2022-01,88
2022-02,91
2022-03,95
2022-04,93
2022-05,100
2022-06,87
2022-07,83
2022-08,79
2022-09,64
2022-10,62
2022-11,54
2022-12,50
2023-01,63
2023-02,60
2023-03,66
2023-04,64
2023-05,64
2023-06,74
2023-07,73
2023-08,76
2023-09,60
2023-10,55
2023-11,53
2023-12,50
2024-01,59
2024-02,57
2024-03,55
2024-04,58
2024-05,58
2024-06,62
2024-07,61
2024-08,61
2024-09,52
2024-10,49
2024-11,46
2024-12,48
2025-01,56
2025-02,53
2025-03,56
2025-04,58
2025-05,56
