Category: All categories

Month,rent: (Texas)
2015-01,80
2015-02,77
2015-03,80
2015-04,79
2015-05,82
2015-06,94
2015-07,95
2015-08,87
2015-09,77
2015-10,72
2015-11,65
2015-12,67
2016-01,87
2016-02,87
2016-03,84
2016-04,88
2016-05,86
2016-06,91
2016-07,92
2016-08,78
2016-09,75
2016-10,72
2016-11,66
2016-12,63
2017-01,76
2017-02,79
2017-03,80
2017-04,81
2017-05,82
2017-06,100
2017-07,92
2017-08,85
2017-09,82
2017-10,73
2017-11,66
2017-12,61
2018-01,78
2018-02,79
2018-03,80
2018-04,76
2018-05,80
2018-06,85
2018-07,83
2018-08,76
2018-09,69
2018-10,65
2018-11,62
2018-12,66
2019-01,84
2019-02,78
2019-03,82
2019-04,79
2019-05,83
2019-06,87
2019-07,88
2019-08,77
2019-09,69
2019-10,65
2019-11,60
2019-12,62
2020-01,76
2020-02,72
2020-03,67
2020-04,66
2020-05,84
2020-06,87
2020-07,87
2020-08,81
2020-09,64
2020-10,70
2020-11,65
2020-12,65
2021-01,76
2021-02,77
2021-03,93
2021-04,88
2021-05,90
2021-06,93
2021-07,98
2021-08,89
2021-09,87
2021-10,87
2021-11,85
2021-12,78
2022-01,81
2022-02,82
2022-03,91
2022-04,82
2022-05,83
2022-06,87
2022-07,84
2022-08,76
2022-09,69
2022-10,66
2022-11,55
2022-12,61
2023-01,66
2023-02,69
2023-03,89
2023-04,76
2023-05,75
2023-06,76
2023-07,79
2023-08,69
2023-09,61
2023-10,57
2023-11,55
2023-12,56
2024-01,62
2024-02,60
2024-03,64
2024-04,64
2024-05,62
2024-06,64
2024-07,64
2024-08,60
2024-09,56
2024-10,55
2024-11,53
2024-12,53
2025-01,57
2025-02,59
2025-03,63
2025-04,61
2025-05,64
