Category: All categories

Month,rent: (Iowa)
2015-01,68
2015-02,64
2015-03,69
2015-04,68
2015-05,73
2015-06,79
2015-07,82
2015-08,73
2015-09,59
2015-10,62
2015-11,55
2015-12,56
2016-01,71
2016-02,77
2016-03,72
2016-04,70
2016-05,72
2016-06,83
2016-07,84
2016-08,75
2016-09,62
2016-10,63
2016-11,61
2016-12,57
2017-01,71
2017-02,74
2017-03,84
2017-04,75
2017-05,77
2017-06,86
2017-07,83
2017-08,72
2017-09,62
2017-10,62
2017-11,57
2017-12,50
2018-01,77
2018-02,73
2018-03,83
2018-04,76
2018-05,82
2018-06,82
2018-07,92
2018-08,73
2018-09,67
2018-10,66
2018-11,59
2018-12,60
2019-01,83
2019-02,76
2019-03,82
2019-04,79
2019-05,79
2019-06,91
2019-07,83
2019-08,73
2019-09,65
2019-10,64
2019-11,56
2019-12,56
2020-01,77
2020-02,77
2020-03,71
2020-04,72
2020-05,81
2020-06,90
2020-07,90
2020-08,85
2020-09,70
2020-10,69
2020-11,56
2020-12,63
2021-01,86
2021-02,84
2021-03,94
2021-04,94
2021-05,90
2021-06,100
2021-07,99
2021-08,91
2021-09,79
2021-10,74
2021-11,74
2021-12,63
2022-01,80
2022-02,91
2022-03,95
2022-04,86
2022-05,88
2022-06,89
2022-07,95
2022-08,80
2022-09,70
2022-10,71
2022-11,57
2022-12,54
2023-01,78
2023-02,76
2023-03,78
2023-04,76
2023-05,81
2023-06,84
2023-07,83
2023-08,75
2023-09,60
2023-10,59
2023-11,53
2023-12,54
2024-01,63
2024-02,62
2024-03,62
2024-04,65
2024-05,65
2024-06,66
2024-07,70
2024-08,63
2024-09,56
2024-10,53
2024-11,49
2024-12,51
2025-01,65
2025-02,57
2025-03,66
2025-04,66
2025-05,68
