Category: All categories

Month,rent: (Missouri)
2015-01,76
2015-02,75
2015-03,78
2015-04,77
2015-05,81
2015-06,88
2015-07,89
2015-08,77
2015-09,66
2015-10,69
2015-11,60
2015-12,60
2016-01,87
2016-02,86
2016-03,85
2016-04,85
2016-05,86
2016-06,94
2016-07,88
2016-08,79
2016-09,73
2016-10,66
2016-11,63
2016-12,64
2017-01,81
2017-02,86
2017-03,84
2017-04,83
2017-05,87
2017-06,97
2017-07,87
2017-08,84
2017-09,71
2017-10,72
2017-11,66
2017-12,62
2018-01,81
2018-02,82
2018-03,83
2018-04,86
2018-05,84
2018-06,92
2018-07,88
2018-08,89
2018-09,72
2018-10,69
2018-11,60
2018-12,66
2019-01,84
2019-02,89
2019-03,87
2019-04,86
2019-05,83
2019-06,95
2019-07,93
2019-08,85
2019-09,73
2019-10,70
2019-11,67
2019-12,64
2020-01,83
2020-02,86
2020-03,69
2020-04,71
2020-05,86
2020-06,93
2020-07,92
2020-08,93
2020-09,74
2020-10,73
2020-11,65
2020-12,72
2021-01,83
2021-02,84
2021-03,100
2021-04,92
2021-05,96
2021-06,95
2021-07,96
2021-08,94
2021-09,81
2021-10,79
2021-11,74
2021-12,75
2022-01,82
2022-02,87
2022-03,94
2022-04,89
2022-05,88
2022-06,91
2022-07,94
2022-08,87
2022-09,73
2022-10,67
2022-11,63
2022-12,62
2023-01,73
2023-02,74
2023-03,77
2023-04,73
2023-05,77
2023-06,83
2023-07,85
2023-08,76
2023-09,68
2023-10,62
2023-11,61
2023-12,57
2024-01,65
2024-02,70
2024-03,70
2024-04,66
2024-05,68
2024-06,73
2024-07,72
2024-08,64
2024-09,60
2024-10,57
2024-11,52
2024-12,53
2025-01,64
2025-02,66
2025-03,66
2025-04,66
2025-05,67
