Category: All categories

Month,rent: (Ohio)
2015-01,67
2015-02,61
2015-03,69
2015-04,69
2015-05,72
2015-06,77
2015-07,78
2015-08,70
2015-09,57
2015-10,55
2015-11,51
2015-12,49
2016-01,76
2016-02,77
2016-03,82
2016-04,86
2016-05,86
2016-06,82
2016-07,92
2016-08,81
2016-09,71
2016-10,66
2016-11,61
2016-12,60
2017-01,77
2017-02,82
2017-03,79
2017-04,80
2017-05,81
2017-06,91
2017-07,92
2017-08,78
2017-09,70
2017-10,69
2017-11,67
2017-12,61
2018-01,78
2018-02,82
2018-03,83
2018-04,81
2018-05,82
2018-06,88
2018-07,92
2018-08,83
2018-09,79
2018-10,75
2018-11,71
2018-12,65
2019-01,84
2019-02,81
2019-03,89
2019-04,83
2019-05,85
2019-06,94
2019-07,96
2019-08,85
2019-09,78
2019-10,74
2019-11,65
2019-12,66
2020-01,82
2020-02,80
2020-03,69
2020-04,68
2020-05,80
2020-06,97
2020-07,95
2020-08,87
2020-09,76
2020-10,76
2020-11,68
2020-12,67
2021-01,83
2021-02,79
2021-03,99
2021-04,96
2021-05,93
2021-06,97
2021-07,100
2021-08,93
2021-09,86
2021-10,80
2021-11,76
2021-12,71
2022-01,80
2022-02,84
2022-03,92
2022-04,86
2022-05,81
2022-06,90
2022-07,88
2022-08,87
2022-09,69
2022-10,68
2022-11,62
2022-12,60
2023-01,72
2023-02,68
2023-03,71
2023-04,75
2023-05,73
2023-06,80
2023-07,82
2023-08,74
2023-09,64
2023-10,60
2023-11,56
2023-12,59
2024-01,65
2024-02,61
2024-03,65
2024-04,65
2024-05,68
2024-06,77
2024-07,70
2024-08,67
2024-09,57
2024-10,54
2024-11,53
2024-12,52
2025-01,64
2025-02,64
2025-03,62
2025-04,64
2025-05,65
