Category: All categories

Month,rent: (Illinois)
2015-01,85
2015-02,87
2015-03,91
2015-04,88
2015-05,93
2015-06,97
2015-07,92
2015-08,84
2015-09,71
2015-10,65
2015-11,59
2015-12,62
2016-01,81
2016-02,82
2016-03,86
2016-04,90
2016-05,89
2016-06,94
2016-07,91
2016-08,90
2016-09,75
2016-10,67
2016-11,65
2016-12,66
2017-01,86
2017-02,83
2017-03,85
2017-04,86
2017-05,86
2017-06,89
2017-07,87
2017-08,83
2017-09,73
2017-10,68
2017-11,64
2017-12,58
2018-01,79
2018-02,77
2018-03,83
2018-04,84
2018-05,84
2018-06,87
2018-07,90
2018-08,82
2018-09,71
2018-10,69
2018-11,63
2018-12,59
2019-01,81
2019-02,80
2019-03,79
2019-04,83
2019-05,84
2019-06,91
2019-07,91
2019-08,87
2019-09,70
2019-10,70
2019-11,68
2019-12,58
2020-01,76
2020-02,77
2020-03,70
2020-04,72
2020-05,85
2020-06,91
2020-07,90
2020-08,90
2020-09,73
2020-10,73
2020-11,64
2020-12,64
2021-01,79
2021-02,83
2021-03,90
2021-04,99
2021-05,100
2021-06,95
2021-07,97
2021-08,91
2021-09,81
2021-10,80
2021-11,76
2021-12,73
2022-01,86
2022-02,91
2022-03,93
2022-04,88
2022-05,85
2022-06,89
2022-07,87
2022-08,88
2022-09,66
2022-10,67
2022-11,60
2022-12,58
2023-01,71
2023-02,74
2023-03,71
2023-04,78
2023-05,77
2023-06,81
2023-07,80
2023-08,73
2023-09,65
2023-10,59
2023-11,58
2023-12,54
2024-01,62
2024-02,64
2024-03,64
2024-04,68
2024-05,65
2024-06,75
2024-07,67
2024-08,63
2024-09,60
2024-10,53
2024-11,51
2024-12,50
2025-01,61
2025-02,60
2025-03,64
2025-04,63
2025-05,64
