Category: All categories

Month,rent: (Louisiana)
2015-01,71
2015-02,67
2015-03,69
2015-04,69
2015-05,70
2015-06,75
2015-07,72
2015-08,60
2015-09,52
2015-10,50
2015-11,49
2015-12,51
2016-01,84
2016-02,80
2016-03,80
2016-04,86
2016-05,86
2016-06,88
2016-07,86
2016-08,78
2016-09,77
2016-10,72
2016-11,67
2016-12,59
2017-01,84
2017-02,80
2017-03,83
2017-04,85
2017-05,85
2017-06,87
2017-07,94
2017-08,82
2017-09,74
2017-10,70
2017-11,64
2017-12,63
2018-01,77
2018-02,79
2018-03,79
2018-04,83
2018-05,83
2018-06,90
2018-07,90
2018-08,77
2018-09,68
2018-10,66
2018-11,63
2018-12,61
2019-01,80
2019-02,80
2019-03,81
2019-04,78
2019-05,86
2019-06,92
2019-07,89
2019-08,82
2019-09,75
2019-10,69
2019-11,61
2019-12,63
2020-01,79
2020-02,73
2020-03,69
2020-04,69
2020-05,97
2020-06,95
2020-07,93
2020-08,80
2020-09,80
2020-10,75
2020-11,71
2020-12,72
2021-01,83
2021-02,88
2021-03,92
2021-04,94
2021-05,97
2021-06,99
2021-07,95
2021-08,85
2021-09,100
2021-10,93
2021-11,85
2021-12,78
2022-01,85
2022-02,83
2022-03,90
2022-04,88
2022-05,86
2022-06,88
2022-07,87
2022-08,81
2022-09,72
2022-10,68
2022-11,60
2022-12,63
2023-01,73
2023-02,69
2023-03,73
2023-04,73
2023-05,78
2023-06,79
2023-07,81
2023-08,74
2023-09,66
2023-10,61
2023-11,61
2023-12,58
2024-01,63
2024-02,64
2024-03,62
2024-04,66
2024-05,68
2024-06,68
2024-07,68
2024-08,65
2024-09,61
2024-10,58
2024-11,54
2024-12,58
2025-01,63
2025-02,65
2025-03,69
2025-04,66
2025-05,68
