Category: All categories

Month,rent: (Utah)
2015-01,67
2015-02,69
2015-03,70
2015-04,77
2015-05,78
2015-06,83
2015-07,79
2015-08,74
2015-09,66
2015-10,64
2015-11,55
2015-12,55
2016-01,81
2016-02,83
2016-03,85
2016-04,97
2016-05,93
2016-06,97
2016-07,98
2016-08,94
2016-09,79
2016-10,68
2016-11,65
2016-12,59
2017-01,80
2017-02,81
2017-03,91
2017-04,92
2017-05,87
2017-06,94
2017-07,98
2017-08,90
2017-09,77
2017-10,67
2017-11,61
2017-12,57
2018-01,79
2018-02,84
2018-03,86
2018-04,88
2018-05,85
2018-06,92
2018-07,97
2018-08,86
2018-09,72
2018-10,67
2018-11,60
2018-12,56
2019-01,82
2019-02,78
2019-03,87
2019-04,87
2019-05,84
2019-06,92
2019-07,96
2019-08,82
2019-09,71
2019-10,66
2019-11,57
2019-12,57
2020-01,75
2020-02,73
2020-03,66
2020-04,69
2020-05,81
2020-06,91
2020-07,91
2020-08,86
2020-09,73
2020-10,72
2020-11,57
2020-12,61
2021-01,79
2021-02,82
2021-03,91
2021-04,96
2021-05,95
2021-06,98
2021-07,100
2021-08,96
2021-09,85
2021-10,77
2021-11,71
2021-12,71
2022-01,81
2022-02,86
2022-03,92
2022-04,88
2022-05,88
2022-06,88
2022-07,96
2022-08,83
2022-09,69
2022-10,65
2022-11,62
2022-12,57
2023-01,70
2023-02,73
2023-03,68
2023-04,72
2023-05,79
2023-06,76
2023-07,82
2023-08,74
2023-09,60
2023-10,56
2023-11,52
2023-12,54
2024-01,57
2024-02,61
2024-03,65
2024-04,67
2024-05,68
2024-06,68
2024-07,67
2024-08,62
2024-09,52
2024-10,55
2024-11,45
2024-12,45
2025-01,62
2025-02,59
2025-03,66
2025-04,66
2025-05,69
