Categoria: Tutte le categorie

Mese,immigrants: (Alaska)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,62
2007-11,73
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,60
2008-11,0
2008-12,0
2009-01,0
2009-02,60
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,57
2009-12,0
2010-01,0
2010-02,0
2010-03,68
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,34
2011-03,0
2011-04,28
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,28
2011-10,0
2011-11,26
2011-12,0
2012-01,30
2012-02,42
2012-03,0
2012-04,19
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,27
2012-10,19
2012-11,35
2012-12,56
2013-01,22
2013-02,24
2013-03,25
2013-04,39
2013-05,29
2013-06,0
2013-07,0
2013-08,0
2013-09,31
2013-10,17
2013-11,23
2013-12,0
2014-01,21
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,21
2014-07,29
2014-08,0
2014-09,35
2014-10,32
2014-11,29
2014-12,27
2015-01,22
2015-02,0
2015-03,0
2015-04,26
2015-05,0
2015-06,25
2015-07,0
2015-08,23
2015-09,51
2015-10,44
2015-11,39
2015-12,23
2016-01,46
2016-02,27
2016-03,25
2016-04,0
2016-05,23
2016-06,33
2016-07,16
2016-08,18
2016-09,23
2016-10,44
2016-11,75
2016-12,34
2017-01,74
2017-02,100
2017-03,47
2017-04,24
2017-05,26
2017-06,0
2017-07,26
2017-08,17
2017-09,25
2017-10,22
2017-11,47
2017-12,24
2018-01,47
2018-02,48
2018-03,25
2018-04,35
2018-05,40
2018-06,51
2018-07,31
2018-08,27
2018-09,22
2018-10,61
2018-11,45
2018-12,36
2019-01,70
2019-02,40
2019-03,36
2019-04,50
2019-05,24
2019-06,29
2019-07,52
2019-08,21
2019-09,28
2019-10,18
2019-11,19
2019-12,31
2020-01,32
2020-02,31
2020-03,21
2020-04,21
2020-05,16
2020-06,0
2020-07,22
2020-08,26
2020-09,27
2020-10,30
2020-11,16
2020-12,0
2021-01,29
2021-02,22
2021-03,22
2021-04,20
2021-05,18
2021-06,25
2021-07,0
2021-08,22
2021-09,19
2021-10,20
2021-11,0
2021-12,22
2022-01,0
2022-02,21
2022-03,28
2022-04,43
2022-05,22
2022-06,24
2022-07,15
2022-08,18
2022-09,50
2022-10,31
2022-11,20
2022-12,21
2023-01,25
2023-02,0
2023-03,36
2023-04,23
2023-05,28
2023-06,25
2023-07,24
2023-08,18
2023-09,38
2023-10,34
2023-11,22
2023-12,35
2024-01,55
2024-02,43
2024-03,54
2024-04,54
2024-05,24
2024-06,22
2024-07,19
2024-08,38
2024-09,71
2024-10,58
2024-11,94
2024-12,19
2025-01,74
2025-02,89
2025-03,57
2025-04,62
2025-05,54
