Categoria: Tutte le categorie

Mese,immigrants: (Alabama)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,40
2005-10,40
2005-11,0
2005-12,37
2006-01,0
2006-02,0
2006-03,59
2006-04,44
2006-05,43
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,37
2006-11,31
2006-12,23
2007-01,0
2007-02,23
2007-03,0
2007-04,32
2007-05,0
2007-06,23
2007-07,20
2007-08,16
2007-09,44
2007-10,42
2007-11,41
2007-12,20
2008-01,20
2008-02,27
2008-03,0
2008-04,28
2008-05,0
2008-06,18
2008-07,21
2008-08,19
2008-09,24
2008-10,21
2008-11,0
2008-12,14
2009-01,21
2009-02,0
2009-03,21
2009-04,28
2009-05,13
2009-06,0
2009-07,0
2009-08,25
2009-09,46
2009-10,23
2009-11,26
2009-12,21
2010-01,27
2010-02,20
2010-03,28
2010-04,28
2010-05,30
2010-06,20
2010-07,22
2010-08,23
2010-09,36
2010-10,25
2010-11,23
2010-12,0
2011-01,12
2011-02,21
2011-03,17
2011-04,16
2011-05,7
2011-06,17
2011-07,14
2011-08,21
2011-09,37
2011-10,41
2011-11,28
2011-12,16
2012-01,16
2012-02,20
2012-03,20
2012-04,21
2012-05,14
2012-06,16
2012-07,15
2012-08,11
2012-09,32
2012-10,35
2012-11,22
2012-12,12
2013-01,13
2013-02,16
2013-03,18
2013-04,27
2013-05,14
2013-06,10
2013-07,8
2013-08,9
2013-09,26
2013-10,32
2013-11,19
2013-12,13
2014-01,14
2014-02,19
2014-03,14
2014-04,13
2014-05,11
2014-06,13
2014-07,34
2014-08,22
2014-09,49
2014-10,41
2014-11,33
2014-12,20
2015-01,19
2015-02,15
2015-03,18
2015-04,24
2015-05,14
2015-06,12
2015-07,16
2015-08,26
2015-09,53
2015-10,40
2015-11,31
2015-12,22
2016-01,22
2016-02,27
2016-03,28
2016-04,23
2016-05,17
2016-06,19
2016-07,14
2016-08,23
2016-09,53
2016-10,33
2016-11,39
2016-12,17
2017-01,45
2017-02,75
2017-03,35
2017-04,21
2017-05,19
2017-06,12
2017-07,12
2017-08,22
2017-09,44
2017-10,32
2017-11,21
2017-12,17
2018-01,35
2018-02,33
2018-03,21
2018-04,23
2018-05,20
2018-06,52
2018-07,25
2018-08,28
2018-09,38
2018-10,49
2018-11,40
2018-12,26
2019-01,49
2019-02,29
2019-03,20
2019-04,29
2019-05,19
2019-06,21
2019-07,23
2019-08,35
2019-09,39
2019-10,30
2019-11,20
2019-12,20
2020-01,22
2020-02,22
2020-03,15
2020-04,20
2020-05,14
2020-06,13
2020-07,13
2020-08,17
2020-09,50
2020-10,37
2020-11,21
2020-12,18
2021-01,24
2021-02,23
2021-03,26
2021-04,25
2021-05,16
2021-06,9
2021-07,11
2021-08,17
2021-09,33
2021-10,24
2021-11,23
2021-12,13
2022-01,19
2022-02,20
2022-03,19
2022-04,32
2022-05,22
2022-06,14
2022-07,12
2022-08,24
2022-09,57
2022-10,27
2022-11,22
2022-12,22
2023-01,26
2023-02,20
2023-03,19
2023-04,21
2023-05,33
2023-06,14
2023-07,11
2023-08,27
2023-09,46
2023-10,35
2023-11,28
2023-12,28
2024-01,35
2024-02,50
2024-03,42
2024-04,34
2024-05,23
2024-06,20
2024-07,27
2024-08,51
2024-09,100
2024-10,57
2024-11,60
2024-12,25
2025-01,73
2025-02,77
2025-03,40
2025-04,42
2025-05,42
