Categoria: Tutte le categorie

Mese,immigrants: (Arkansas)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,61
2006-05,100
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,43
2006-11,55
2006-12,0
2007-01,52
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,30
2007-11,38
2007-12,37
2008-01,0
2008-02,37
2008-03,0
2008-04,60
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,38
2008-10,0
2008-11,45
2008-12,25
2009-01,0
2009-02,0
2009-03,22
2009-04,42
2009-05,30
2009-06,0
2009-07,0
2009-08,27
2009-09,34
2009-10,26
2009-11,48
2009-12,46
2010-01,22
2010-02,45
2010-03,32
2010-04,39
2010-05,42
2010-06,40
2010-07,0
2010-08,36
2010-09,0
2010-10,22
2010-11,0
2010-12,0
2011-01,32
2011-02,18
2011-03,16
2011-04,26
2011-05,18
2011-06,13
2011-07,0
2011-08,17
2011-09,29
2011-10,29
2011-11,29
2011-12,19
2012-01,15
2012-02,25
2012-03,21
2012-04,29
2012-05,18
2012-06,14
2012-07,9
2012-08,16
2012-09,34
2012-10,29
2012-11,22
2012-12,20
2013-01,30
2013-02,39
2013-03,23
2013-04,26
2013-05,20
2013-06,13
2013-07,0
2013-08,10
2013-09,36
2013-10,30
2013-11,24
2013-12,19
2014-01,35
2014-02,26
2014-03,18
2014-04,21
2014-05,23
2014-06,26
2014-07,38
2014-08,22
2014-09,36
2014-10,38
2014-11,43
2014-12,23
2015-01,36
2015-02,34
2015-03,28
2015-04,32
2015-05,18
2015-06,15
2015-07,16
2015-08,26
2015-09,65
2015-10,46
2015-11,47
2015-12,32
2016-01,28
2016-02,31
2016-03,27
2016-04,41
2016-05,29
2016-06,20
2016-07,17
2016-08,22
2016-09,37
2016-10,46
2016-11,62
2016-12,31
2017-01,58
2017-02,95
2017-03,44
2017-04,35
2017-05,36
2017-06,15
2017-07,14
2017-08,19
2017-09,37
2017-10,35
2017-11,32
2017-12,23
2018-01,42
2018-02,41
2018-03,26
2018-04,33
2018-05,31
2018-06,60
2018-07,27
2018-08,22
2018-09,28
2018-10,67
2018-11,65
2018-12,42
2019-01,65
2019-02,40
2019-03,33
2019-04,35
2019-05,27
2019-06,29
2019-07,34
2019-08,30
2019-09,39
2019-10,34
2019-11,35
2019-12,28
2020-01,25
2020-02,31
2020-03,18
2020-04,24
2020-05,17
2020-06,18
2020-07,14
2020-08,18
2020-09,44
2020-10,27
2020-11,26
2020-12,20
2021-01,26
2021-02,28
2021-03,37
2021-04,20
2021-05,13
2021-06,13
2021-07,17
2021-08,20
2021-09,34
2021-10,32
2021-11,25
2021-12,14
2022-01,18
2022-02,23
2022-03,23
2022-04,46
2022-05,28
2022-06,15
2022-07,14
2022-08,17
2022-09,52
2022-10,32
2022-11,30
2022-12,28
2023-01,24
2023-02,29
2023-03,23
2023-04,27
2023-05,37
2023-06,14
2023-07,13
2023-08,19
2023-09,41
2023-10,39
2023-11,30
2023-12,34
2024-01,42
2024-02,55
2024-03,48
2024-04,35
2024-05,25
2024-06,24
2024-07,23
2024-08,39
2024-09,100
2024-10,65
2024-11,69
2024-12,33
2025-01,100
2025-02,99
2025-03,54
2025-04,53
2025-05,43
